post_type,posts,avg_reach,avg_engagement,avg_engagement_rate,avg_seconds_viewed
Videos,242,13677.464285714286,9048.276859504133,0.9012714359410657,12139.744297520661
Text,35,4265.379310344828,1132.2571428571428,0.6148150125712802,514.4
Photos,509,8580.068075117371,1159.286836935167,0.38741655642502626,299.1218074656189
Links,10,1357.3333333333333,429.2,0.2053653630502748,103.2
Reels,74,64260.41891891892,3855.810810810811,0.09577484180203201,2003.367162162162
