tiktok_video_id,content_link,video_title,publish_day,publish_month,publish_year,duration,likes,shares,comments_added,views,saves,sound_used,post_type,,,,,,
tkvid_124,https:::www.tiktok.com:@thesugarcaneph:video:7124596292650618138?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,SUGARCANE Name Origin - Live at ASAP Natin To Feat. Eric Santos,26,7,2022,0:01:24,332,8,28,4854,15,Original Sound,video,,,,,,
tkvid_125,https:::www.tiktok.com:@thesugarcaneph:video:7124981028262923546?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Yakap sa Dilim - Performed by SUGARCANE at ASAP Natin 'To,27,7,2022,0:03:22,141,2,9,3250,8,Original Sound,video,,,,,,
tkvid_126,https:::www.tiktok.com:@thesugarcaneph:video:7125364004842736923?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Kung Maging Akin Ka | SUGARCANE live at Mow’s,28,7,2022,0:00:43,240,9,8,4712,8,Original Sound,video,,,,,,
tkvid_127,https:::www.tiktok.com:@thesugarcaneph:video:7130167667654151450?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Oo - Up Dharma Down | Cover by SUGARCANE,10,8,2022,0:00:52,225,15,9,5579,18,Original Sound,video,,,,,,
tkvid_128,https:::www.tiktok.com:@thesugarcaneph:video:7132435088217869594?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,SUGARCANE - “Paruparo” Stream link in bio,16,8,2022,0:00:19,174,7,6,6775,12,Original Sound,video,,,,,,
tkvid_129,https:::www.tiktok.com:@thesugarcaneph:video:7133153786142461211?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Take on the #ParuparoBiritChallenge by duetting the video. Tag your friends and don’t forget to use the hashtag.,18,8,2022,0:00:57,381,12,17,16000,38,Original Sound,video,,,,,,
tkvid_130,https:::www.tiktok.com:@thesugarcaneph:video:7134661719795846427?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"Nagbabalik kami para sa isang hamon! 🦋 Follow us and duet the video on the comment section. Take on the challenge and use the hashtag, #ParuparoBiritChallenge",22,8,2022,0:00:43,373,23,9,10100,20,Original Sound,video,,,,,,
tkvid_131,https:::www.tiktok.com:@thesugarcaneph:video:7137208714662120730?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,SUGARCANE X JC Herrero - Paruparo (flute notes tutorial),29,8,2022,0:01:50,146,5,4,9718,13,Paruparo,video,,,,,,
tkvid_132,https:::www.tiktok.com:@thesugarcaneph:video:7157273929889910043?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"Dream Come True ✨ ""Sa'yo"" by Munimuni | Jamming with @TONEEJAY Sobrang salamat po for letting us jam with you on this masterpiece! 🫶🏼",22,10,2022,0:01:53,372,18,10,12800,40,Original Sound,video,,,,,,
tkvid_133,https:::www.tiktok.com:@thesugarcaneph:video:7198163763864833306?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"Wala na makain kakagatekeep niyo, nasiraan tuloy ng bait 🥹😭",9,2,2023,0:00:20,8647,262,141,62100,354,Paruparo,video,,,,,,
tkvid_134,https:::www.tiktok.com:@thesugarcaneph:video:7201398127419510043?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Pasilyo by @SunKissed Lola,18,2,2023,0:01:26,63000,727,347,729200,7337,Original Sound,video,,,,,,
tkvid_135,https:::www.tiktok.com:@thesugarcaneph:video:7202570154201353499?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Bawat Piyesa,21,2,2023,0:01:52,747,9,20,12100,12,Original Sound,video,,,,,,
tkvid_136,https:::www.tiktok.com:@thesugarcaneph:video:7205435666233068826?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,studio prac day,1,3,2023,0:00:50,434,9,48,7675,12,Kung Maging Akin Ka,video,,,,,,
tkvid_137,https:::www.tiktok.com:@thesugarcaneph:video:7206535542023015706?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,03 - 03 - 23 SaGuijo gig vlog!,4,3,2023,0:00:49,130,1,1,4597,4,Paruparo,video,,,,,,
tkvid_138,https:::www.tiktok.com:@thesugarcaneph:video:7207261858372259099?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Uhaw by @Dilaw (snippet flute arrangement by our flutist @rona🧿 ),6,3,2023,0:00:33,230,1,10,9536,14,Original Sound,video,,,,,,
tkvid_139,https:::www.tiktok.com:@thesugarcaneph:video:7208804061288713478?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,hayaan niyo sila magluto,10,3,2023,0:00:16,579,36,75,9715,27,Original Sound,video,,,,,,
tkvid_140,https:::www.tiktok.com:@thesugarcaneph:video:7209517668485909766?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Uhaw - Dilaw,12,3,2023,0:01:27,4141,94,53,46200,369,Uhaw - Dilaw,video,,,,,,
tkvid_141,https:::www.tiktok.com:@thesugarcaneph:video:7210359819331489030?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,SUGARCANE - Kung Maging Akin Ka,14,3,2023,0:02:22,1465,55,57,19500,89,Original Sound,video,,,,,,
tkvid_142,https:::www.tiktok.com:@thesugarcaneph:video:7212622397969599749?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Gunita (Acoustic),20,3,2023,0:03:39,727,27,35,14500,47,Original Sound,video,,,,,,
tkvid_143,https:::www.tiktok.com:@thesugarcaneph:video:7215595322121145605?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,What if i-release na namin ‘to?,28,3,2023,0:00:31,46100,366,135,271500,4145,Original Sound,video,,,,,,
tkvid_144,https:::www.tiktok.com:@thesugarcaneph:video:7216418626155334917?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,A tribute to Rizal & Leonor’s tragic tale. Stream “Leonora” on Spotify 💕,31,3,2023,0:00:15,2479,67,16,26600,192,Leonora,video,,,,,,
tkvid_145,https:::www.tiktok.com:@thesugarcaneph:video:7216613389764775173?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,What if songwriter si Rizal?,31,3,2023,0:01:32,4917,48,34,45100,389,Original Sound,video,,,,,,
tkvid_146,https:::www.tiktok.com:@thesugarcaneph:video:7217737023140924678?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Ever wondered what goes into creating the perfect single art cover? 🤔 Here's the behind-the-scenes of Felix Gasmen's creative process for Leonora's. IG: @artsbyfelix,3,4,2023,0:00:30,3012,401,14,38300,224,Leonora,video,,,,,,
tkvid_147,https:::www.tiktok.com:@thesugarcaneph:video:7218501157121985818?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Jose Rizz-al 😎,5,4,2023,0:01:29,344,10,15,11800,22,Original Sound,video,,,,,,
tkvid_148,https:::www.tiktok.com:@thesugarcaneph:video:7219161468615281947?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Leonora - SUGARCANE,7,4,2023,0:00:15,1100,335,50,221400,1218,Leonora,video,,,,,,
tkvid_149,https:::www.tiktok.com:@thesugarcaneph:video:7219605187164556550?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Time to flex that special someone 🥹,8,4,2023,0:00:52,23100,340,228,264900,8930,Original Sound,video,,,,,,
tkvid_150,https:::www.tiktok.com:@thesugarcaneph:video:7220350937594924293?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Pano kaya kung may kanta si Jose Rizal para sa first love niya?,10,4,2023,0:01:26,1200000,17000,6721,8500000,156900,Original Sound,video,,,,,,
tkvid_151,https:::www.tiktok.com:@thesugarcaneph:video:7220638621357985030?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"We heard your comments, so here it is!",11,4,2023,0:01:05,17000,581,268,87700,1607,(Sound not available),video,,,,,,
tkvid_152,https:::www.tiktok.com:@thesugarcaneph:video:7220738721329483034?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,“Leonora” is out now on Youtube and Spotify 🫶 Stream now!,11,4,2023,0:00:45,40600,615,149,324500,2028,Leonora,video,,,,,,
tkvid_153,https:::www.tiktok.com:@thesugarcaneph:video:7221100671569792261?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"04-14-23 | 8PM - “Leonora (Official Music Video)”. THIS FRIDAY NA, STAY TUNED! 🫶",12,4,2023,0:00:16,13500,458,88,189200,1131,Original Sound,video,,,,,,
tkvid_154,https:::www.tiktok.com:@thesugarcaneph:video:7221348643939437829?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Out now on all music platforms! 🫶,13,4,2023,0:01:26,50400,1008,266,244200,6716,(Sound not available),video,,,,,,
