"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Matched Audience Targeting Consumption (Photo Click)","Other Clicks","Link Clicks",Views,"Reach from Organic posts","Reach from Boosted posts","3-second video views","1-minute video views","3-Second viewers","1-minute viewers","3-second video views from Boosted posts","3-second video views from Organic posts","Negative feedback from users: Hide all","Negative feedback from users: Hide","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)"
1112304343589910,100044310645639,SUGARCANE,"Next stop of #WePlayHereSchoolTour : Ateneo De Manila University 💙✨

🗓 November 9, 2024
📍Ateneo JHS Covered Courts, Ateneo De Manila University
🎟 Scan QR code on poster

See you there, folks!!

Warner Music Philippines
We Play Here",,0,"10/22/2024 21:09",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid027xKFRTUh6UuR1uJvrppMWjTdqF91qKX8npQkLwQhkiq3MsmHmJRPVDzCsX7FaroPl,0,0,Photos,,,,,Lifetime,0,11858,425,380,16,29,516,212,304,,0,11858,0,0,0,0,0,0,0,,,,,
1111604030326608,100044310645639,SUGARCANE,"at least hindi ako useless","at least hindi ako useless",18,"10/21/2024 21:00",uploaded,https://www.facebook.com/thesugarcaneph/videos/540402961919036/,0,0,Videos,,,,,Lifetime,0,3076,210,184,7,19,160,,160,,0,3076,0,1563,0,1438,0,0,1563,,,21041.144,6.728,0.04
1111173783702966,100044310645639,SUGARCANE,"Hala siya si delulu nanaman…","Hala siya si delulu nanaman…",11,"10/21/2024 05:56",N/A,https://www.facebook.com/reel/861468582804314/,0,0,Reels,,,,,Lifetime,0,59914,1266,1061,25,180,0,,,,0,59914,0,,,,,0,39818,,,374320.816,6.722,0
1111059203714424,100044310645639,SUGARCANE,"Napanood mo na ba ang ""Pagbigyan"" sa Wish 107.5? 🪢

Watch full video here: https://www.youtube.com/watch?v=UpAVv4xRVeI","Napanood mo na ba ang ""Pagbigyan"" sa @[100068759755012:2048:Wish 107.5]? 🪢

Watch full video here: https://www.youtube.com/watch?v=UpAVv4xRVeI",83,"10/21/2024 02:19",N/A,https://www.facebook.com/thesugarcaneph/videos/554981986934942/,0,0,Videos,,,,,Lifetime,0,5376,339,319,6,14,218,,209,9,0,5376,0,1955,214,1890,203,0,1955,,,46788.734,10.299,0.05
1110964507057227,100044310645639,SUGARCANE,"Ah panis takot ka raw masaktan, payag ka nun? Pakitaan mo nga kung gaano ka parin katapang kahit mag-isa ka nalang lumalaban! 

Eme see you sa October 26, sa Jess & Pat's! 👻",,0,"10/20/2024 22:51",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02g2i7VuPTsXXkdstxNMCyGGwq97baKwbLoMGQSMLck5AVigNMnfysUJD5Un5GDEyEl,0,1,Photos,,,,,Lifetime,0,6362,166,156,6,4,258,56,202,,0,6362,0,0,0,0,0,0,0,,,,,
1110346770452334,100044310645639,SUGARCANE,"Hirap naman ng ganito 😮‍💨","Hirap naman ng ganito 😮‍💨",18,"10/20/2024 02:09",N/A,https://www.facebook.com/reel/2358209871203749/,1,0,Reels,,,,,Lifetime,0,173480,12207,8810,923,2474,0,,,,0,173480,0,,,,,0,85909,,,715405.408,4.384,0
1110196997133978,100044310645639,SUGARCANE,"Magrereply pa kaya to guys?","Magrereply pa kaya to guys?",18,"10/19/2024 21:04",N/A,https://www.facebook.com/reel/1373375266956646/,0,0,Reels,,,,,Lifetime,0,3461,212,192,9,11,0,,,,0,3461,0,,,,,0,2102,,,23202.059,6.744,0
1109795350507476,100044310645639,SUGARCANE,"Huling sulyap mo manlang sanaaaaaa","Huling sulyap mo manlang sanaaaaaa",20,"10/19/2024 07:34",N/A,https://www.facebook.com/reel/591961626488544/,0,0,Reels,,,,,Lifetime,0,10614,509,435,27,47,0,,,,0,10614,0,,,,,0,4944,,,52794.73,5.342,0
1109004150586596,100044310645639,SUGARCANE,"Feel mo babalik pa siya? ito, ginawan ka namin ng kanta 😝","Feel mo babalik pa siya? ito, ginawan ka namin ng kanta 😝",51,"10/18/2024 05:39",uploaded,https://www.facebook.com/thesugarcaneph/videos/1059443655416233/,0,0,Videos,,,,,Lifetime,0,8390,604,500,42,62,551,,549,2,0,8390,0,3656,0,3159,0,0,3656,,,64733.828,8.477,0.08
1108939830593028,100044310645639,SUGARCANE,👀,"We recently wrote a song para sa mga bilanggo ng nakaraan. Anong tingin nyo? Release na ba namin? 👀",65,"10/18/2024 03:41",N/A,https://www.facebook.com/thesugarcaneph/videos/1057424222374814/,0,0,Videos,,,,,Lifetime,0,10746,656,548,32,76,421,,418,3,0,10746,0,3809,343,3423,231,0,3809,,,77999.958,8.146,0.06
