Content,Video title,Video publish time,Duration,Impressions,Impressions click-through rate (%),Average views per viewer,New viewers,Subscribers gained,Subscribers lost,Likes,Shares,Comments added,Views,Watch time (hours),Average view duration,Year,Month,Day,Day_of_Week,Hour,Duration_seconds,Performance Cluster,Performance Label
SPe1-l05MlE,Gunita - Sugarcane (lyrics) | MALyrics,2021-09-18,330.0,388460,11.85,,,0,0,408,1025,11,77577,4502.5036,0:03:28,2021,9,18,Saturday,0,0.0,0,Low
_PnBjv7uv3s,SUGARCANE - Kung Maging Akin Ka (Official Instrumental/Karaoke),2021-07-30,254.0,387588,10.21,,,253,4,966,931,39,50237,1942.8811,0:02:19,2021,7,30,Friday,0,0.0,0,Low
vY9G3NbEyLU,#song #leonora #musica,2023-06-09,61.0,368921,3.9,,,0,0,637,116,6,22225,265.2373,0:00:48,2023,6,9,Friday,0,0.0,0,Low
uT7VxKrKTi0,SUGARCANE - Paruparo (Official Guitar Chords),2022-07-20,299.0,348412,5.79,,,130,2,629,168,19,27155,1249.1702,0:02:45,2022,7,20,Wednesday,0,0.0,0,Low
5sDcsv9PzBk,Leonora - Sugarcane (Lyrics) #leonora #lyrics #sugarcane  #opm,2023-07-16,230.0,343002,9.98,,,0,0,187,289,10,61951,3038.0771,0:02:56,2023,7,16,Sunday,0,0.0,0,Low
gYj6SadNK8Y,SUGARCANE - Leonora (Lead Guitar Playthrough),2023-05-03,42.0,337099,6.5,,,78,1,503,133,28,25735,219.6676,0:00:30,2023,5,3,Wednesday,0,0.0,0,Low
lUIQWNk_djg,Uhaw - Dilaw #fypmusic #dilaw #uhaw #uhawtayonglahat,2023-03-13,61.0,308849,3.14,,,76,2,776,54,11,24261,251.2039,0:00:37,2023,3,13,Monday,0,0.0,0,Low
p36OA968Z9M,Ang pagbabalik ng SUGARCANE sa Youtube Shorts,2023-09-10,31.0,294045,1.42,,,23,0,445,6,8,7145,38.6863,0:00:19,2023,9,10,Sunday,0,0.0,0,Low
MJPyA1rAqPc,LOOK HOW GENTLE ANDRES WHEN IT COMES TO HIS GIRLFRIEND 🤭👀#ashdres,2025-04-27,29.0,293702,11.05,,,0,0,6104,161,18,186005,649.3638,0:00:22,2025,4,27,Sunday,0,0.0,0,Low
u5gecXDsigg,SUGARCANE - Leonora (Keyboard Playthrough),2023-05-20,149.0,285515,4.13,,,53,1,404,106,13,17183,270.3575,0:00:56,2023,5,20,Saturday,0,0.0,0,Low
5Jp6BaWEYD8,Sugarcane - Pagbigyan (Official Lyric Video),2024-09-07,285.0,272582,5.81,,,82,1,696,528,43,34418,1906.738,0:03:19,2024,9,7,Saturday,0,0.0,0,Low
5yzQnL0cDk0,SUGARCANE - Gunita (Official Instrumental/Karaoke),2020-07-25,329.0,263184,9.06,,,109,2,530,814,116,29664,1245.3503,0:02:31,2020,7,25,Saturday,0,0.0,0,Low
oTr3uOMrZQo,SUGARCANE - Paruparo (Official Lead Guitar Tabs),2022-08-01,299.0,252412,3.44,,,71,2,272,76,13,11064,293.9868,0:01:35,2022,8,1,Monday,0,0.0,0,Low
-t2aDu8oExI,Sugarcane - Pagbigyan (Official Audio),2024-07-25,285.0,234171,4.06,,,108,1,859,406,106,17819,950.4944,0:03:12,2024,7,25,Thursday,0,0.0,0,Low
OEhfXE359To,Leonora Solo | Sugarcane #shorts,2023-05-13,44.0,223759,1.23,,,0,0,205,8,3,6243,36.7662,0:00:22,2023,5,13,Saturday,0,0.0,0,Low
LAo4KBYreu4,Kung maging akin ka (lyrics) - Sugarcane,2022-12-11,255.0,221457,7.77,,,0,0,191,439,5,29104,1416.6198,0:02:55,2022,12,11,Sunday,0,0.0,0,Low
SdwZbxVGteY,Leonora (Lyrics) | By: Sugarcane,2023-12-21,235.0,220109,5.58,,,0,0,52,47,1,23538,1075.5919,0:02:44,2023,12,21,Thursday,0,0.0,0,Low
ian-_SiH3-o,FranSeth super comfy na talaga sa isa't isa 💙 Francine Diaz | Seth Fedelin,2023-10-03,16.0,215884,6.71,,,0,0,4468,32,42,56065,274.2765,0:00:18,2023,10,3,Tuesday,0,0.0,0,Low
y-oFGpW0lGo,Oo - UDD | Garden Sessions,2023-05-17,61.0,212688,1.7,,,23,0,310,8,5,6430,44.4813,0:00:25,2023,5,17,Wednesday,0,0.0,0,Low
g1cFcSarLRA,Leonora/Sugarcane,2023-06-20,39.0,212103,1.43,,,0,0,97,7,0,5944,32.8793,0:00:22,2023,6,20,Tuesday,0,0.0,0,Low
tm7fRlt0jt8,SUGARCANE - Maria Clara (Official Instrumental/Karaoke),2024-05-10,275.0,197643,6.51,,,43,0,334,856,15,17952,451.7383,0:01:30,2024,5,10,Friday,0,0.0,0,Low
vgwU-nIBQaQ,Sugarcane - Pagbigyan feat. Gian of Cup of Joe (Live at We Play Here UP),2024-11-07,335.0,193731,5.04,,,75,1,551,177,23,17555,1116.9123,0:03:49,2024,11,7,Thursday,0,0.0,0,Low
zkINZkApD24,SUGARCANE - Rainbow | © South Border,2021-10-18,311.0,189090,4.07,,,90,4,520,53,48,10920,326.5281,0:01:47,2021,10,18,Monday,0,0.0,0,Low
4e6Qqx7aQQ4,SUGARCANE - Maria Clara (Official Music Video - BTS),2024-04-13,129.0,187580,4.24,,,30,1,282,54,15,12682,161.8094,0:00:45,2024,4,13,Saturday,0,0.0,0,Low
1Pyj2p9OK8k,OUT NOW! https://youtu.be/BUxdzinLdLM?si=xcF3fdqgpx5Vs2R_,2023-09-24,29.0,182009,0.82,,,9,0,158,3,1,2150,8.9071,0:00:15,2023,9,24,Sunday,0,0.0,0,Low
8KRTmSyW0sI,Paruparo (lyrics) Sugarcane & JC Herrero,2022-11-26,302.0,179264,10.74,,,0,0,165,284,0,30431,1709.5536,0:03:22,2022,11,26,Saturday,0,0.0,0,Low
hMS4Z6Z1wAo,Sugarcane - Kwentong Sinehan Ft. Francine Diaz,2023-10-10,452.0,178255,4.2,,,99,3,726,59,45,10065,417.1819,0:02:29,2023,10,10,Tuesday,0,0.0,0,Low
NALK8z36zYg,Maria Clara At Ibarra - Leonora | Clarisostomo FMV,2023-07-03,223.0,178007,10.03,,,0,0,529,656,13,25658,739.9821,0:01:43,2023,7,3,Monday,0,0.0,0,Low
5QMcl3nktj4,Bituin (Live) | from UP Fair: Cosmic Clash 2021 (Stand with Farmers),2021-02-11,204.0,173626,4.18,,,89,4,467,64,53,12620,450.1431,0:02:08,2021,2,11,Thursday,0,0.0,0,Low
fTA4-h8c0Qk,SUGARCANE - Sinehan (Official Instrumental/Karaoke),2023-10-07,200.0,171588,4.44,,,35,3,182,144,12,9782,271.8273,0:01:40,2023,10,7,Saturday,0,0.0,0,Low
zEipacYBckY,"Paalam, Leonora | Sugarcane (Lyrics)",2023-07-20,266.0,159666,12.88,,,0,0,170,491,5,30553,1585.5557,0:03:06,2023,7,20,Thursday,0,0.0,0,Low
CRsgJrc-6eg,SUGARCANE - Reside [ft. Angel] (Official Instrumental/Karaoke),2021-02-10,279.0,153339,4.64,,,37,3,218,212,20,9090,270.0874,0:01:46,2021,2,10,Wednesday,0,0.0,0,Low
_67ogpekd-4,Leonora (MV) | Official Trailer | 04-14-23 | 8PM,2023-04-12,16.0,146813,4.14,,,71,0,415,83,23,24324,77.9692,0:00:11,2023,4,12,Wednesday,0,0.0,0,Low
5wHB2p5wUDM,Leonora - SUGARCANE 😍💖 #shorts #leonora #sugarcane #opmcover  #shortscoversong #shortscover #opm,2023-05-01,40.0,146332,1.41,,,0,0,104,3,1,4314,18.1408,0:00:15,2023,5,1,Monday,0,0.0,0,Low
HgYJOkwiFRQ,Horses in Kalesa 🇵🇭 #travel #kabayo #kalesa #manila #philippines #fyp #fypシ #trees,2023-09-17,16.0,146233,2.05,,,0,0,225,10,3,18396,59.5602,0:00:16,2023,9,17,Sunday,0,0.0,0,Low
Fxyaqk9E_RE,SUGARCANE - Sinehan (Flute Playthrough),2023-11-11,75.0,140977,3.44,,,18,3,82,22,3,5762,41.85,0:00:26,2023,11,11,Saturday,0,0.0,0,Low
xcWC_TIm_ms,SUGARCANE - leonora (lyrics),2023-12-30,223.0,139108,4.73,,,0,0,29,41,1,12221,502.3811,0:02:27,2023,12,30,Saturday,0,0.0,0,Low
hCWcY5f2fHk,"“𝐌𝐀𝐑𝐈𝐀 𝐂𝐋𝐀𝐑𝐀” 𝐌𝐔𝐒𝐈𝐂 𝐕𝐈𝐃𝐄𝐎, 𝐎𝐔𝐓 𝐍𝐎𝐖! 💃🏽 youtu.be/rehKbRxoxTo",2024-03-25,15.0,138854,1.36,,,12,0,162,5,7,3403,12.2157,0:00:13,2024,3,25,Monday,0,0.0,0,Low
zVSZpoDnXVo,SUGARCANE - Gabi (Official Instrumental/Karaoke),2020-03-01,228.0,138398,6.89,,,47,1,244,193,2,12231,349.7782,0:01:42,2020,3,1,Sunday,0,0.0,0,Low
lN-FoVNuV0I,SUGARCANE - Sinehan (Piano Playthrough),2023-10-15,176.0,133187,2.03,,,17,4,112,32,9,4360,89.8971,0:01:14,2023,10,15,Sunday,0,0.0,0,Low
-EOOEaKRudw,Sugarcane - Leonora (Lyric Video),2023-07-29,235.0,132802,7.05,,,0,0,46,73,1,15177,707.0073,0:02:47,2023,7,29,Saturday,0,0.0,0,Low
hmR2BC8ciaA,SUGARCANE - Tanging Ikaw (Harana Ver.),2025-07-03,181.0,123373,6.11,,,53,3,549,225,46,17060,600.1416,0:02:06,2025,7,3,Thursday,0,0.0,0,Low
l5Rlvnye568,SUGARCANE - Maria Clara (MV Teaser),2024-03-21,18.0,121891,1.22,,,12,0,306,6,7,3495,15.4852,0:00:16,2024,3,21,Thursday,0,0.0,0,Low
qHUOfwmStII,DALANGIN || Sugarcane (Lyrics),2023-07-05,343.0,116265,8.67,,,0,0,85,185,0,15180,783.1279,0:03:05,2023,7,5,Wednesday,0,0.0,0,Low
TuicCKwBZSQ,my loveee💛💛 #runcavmanagement @runcavmanagement5845 @rhajalanelabuanan9816,2024-01-14,17.0,113790,0.86,,,0,0,936,2,11,10613,22.7378,0:00:07,2024,1,14,Sunday,0,0.0,0,Low
E_VtfIWJPoo,Sugarcane - Set You Free (Warner 30th),2023-11-27,278.0,113092,6.95,,,0,0,136,158,8,14741,837.301,0:03:24,2023,11,27,Monday,0,0.0,0,Low
vyaYwQYntNM,SUGARCANE - Maria Clara (Guitar Playthrough),2024-04-05,274.0,112740,3.51,,,17,1,123,30,9,5120,115.6499,0:01:21,2024,4,5,Friday,0,0.0,0,Low
hT3NbsHW8Pk,SUGARCANE - Set You Free (Official Instrumental/Karaoke),2024-02-10,277.0,112377,2.5,,,13,0,74,33,6,3853,122.9455,0:01:54,2024,2,10,Saturday,0,0.0,0,Low
lzycDgyWj2U,SUGARCANE - Sinehan (Acoustic Guitar Playthrough),2023-10-29,135.0,111877,3.0,,,14,4,130,14,3,4860,102.4088,0:01:15,2023,10,29,Sunday,0,0.0,0,Low
lpSkJrNR4BY,Dalangin (lyrics) - Sugarcane,2022-12-03,343.0,111665,7.35,,,0,0,101,156,4,13017,749.1349,0:03:27,2022,12,3,Saturday,0,0.0,0,Low
ESqBzVZc8rk,Leonora flute cover🎧 SUGARCANE Instrumental: https://youtu.be/keG9p9k3Ff8?si=l6a6hFIkXnJSaj0J,2024-07-10,229.0,110041,8.61,,,0,0,401,346,27,12539,360.5232,0:01:43,2024,7,10,Wednesday,0,0.0,0,Low
iCwRkxNURP4,Leonora by Sugarcane,2023-12-18,235.0,110021,7.39,,,0,0,40,69,0,16703,751.9094,0:02:42,2023,12,18,Monday,0,0.0,0,Low
fqVpq1OweWg,SUGARCANE feat. Jikamarie - Aking Maria Clara (Official Instrumental/Karaoke),2024-07-02,268.0,109119,2.16,,,10,1,78,32,7,3212,43.8877,0:00:49,2024,7,2,Tuesday,0,0.0,0,Low
di6fRrTF0Is,Leonora - Sugarcane (A cover),2023-10-07,235.0,106690,7.84,,,0,0,232,156,20,11358,385.4795,0:02:02,2023,10,7,Saturday,0,0.0,0,Low
vsk-wCBjhmY,"Reside (Live) | from UP Political Society’s “Diwa ng Pasko: Handog sa Pilipino""",2020-12-27,281.0,101934,2.36,,,12,2,161,22,22,3528,109.6692,0:01:51,2020,12,27,Sunday,0,0.0,0,Low
xCvmrcDSqqI,SUGARCANE - Bituin (Official Instrumental/Karaoke),2020-03-14,199.0,101465,6.09,,,35,0,187,130,11,8215,211.3568,0:01:32,2020,3,14,Saturday,0,0.0,0,Low
Kxt1HfT3H2w,Leonora by @thesugarcaneph #live #music #opmsong #leonora #cover #opmsong,2023-07-18,61.0,97326,1.51,,,0,0,121,16,5,3886,28.272,0:00:28,2023,7,18,Tuesday,0,0.0,0,Low
IUtnxcLKt-k,Leonora - Sugarcane #edit #lyrics,2023-05-19,31.0,93560,0.9,,,0,0,87,23,3,2612,15.7293,0:00:25,2023,5,19,Friday,0,0.0,0,Low
CS7q0VYV07s,Bituin,2022-03-10,200.0,93166,6.71,,,3,0,1401,512,9,178865,6996.0544,0:02:20,2022,3,10,Thursday,0,0.0,0,Low
2wI4PVr_xE8,Kung Maging Akin Ka - Sugarcane (Guitar Cover),2021-02-15,251.0,87669,10.27,,,0,0,431,80,48,12088,483.051,0:02:23,2021,2,15,Monday,0,0.0,0,Low
ewakdo_NcXo,Leonora - Sugarcane (Lyrics),2023-08-15,233.0,86817,8.4,,,0,0,32,59,3,13652,647.3689,0:02:50,2023,8,15,Tuesday,0,0.0,0,Low
0-I8wry1dyA,SUGARCANE - Kung Maging Akin Ka [Lyrics],2023-01-31,254.0,86063,9.64,,,0,0,70,173,6,14211,690.8688,0:02:55,2023,1,31,Tuesday,0,0.0,0,Low
02VmufsqSck,Reside,2022-03-10,279.0,85096,5.81,,,1,0,899,345,5,91043,4877.8493,0:03:12,2022,3,10,Thursday,0,0.0,0,Low
qdiCjYX4HYk,SUGARCANE - Sinehan (Lead Playthrough),2024-02-12,108.0,85040,2.26,,,7,1,54,11,3,2674,29.8254,0:00:40,2024,2,12,Monday,0,0.0,0,Low
Zgq88-A0tuk,Sugarcane - Leonora ( Lyrics ),2023-07-24,229.0,83221,7.91,,,0,0,23,28,1,10229,462.5342,0:02:42,2023,7,24,Monday,0,0.0,0,Low
saae8_uzfho,Bituin - Sugarcane (Lyric Video),2022-08-27,199.0,83128,7.83,,,0,0,96,102,4,8837,247.9627,0:01:41,2022,8,27,Saturday,0,0.0,0,Low
qFEUS_FiZMc,[Karaoke Version] Leonora - Sugarcane,2023-10-23,250.0,82652,3.58,,,0,0,13,18,0,3347,95.3094,0:01:42,2023,10,23,Monday,0,0.0,0,Low
orQyVLrwweg,Sugarcane - Leonora (Lyrics),2023-07-20,237.0,80757,7.83,,,0,0,56,32,4,10060,471.5845,0:02:48,2023,7,20,Thursday,0,0.0,0,Low
JOZI6Hjbo7Y,Leonora by Sugarcane | Eb Alto Saxophone Sheet Music | Arranged by Ranz Bautista,2023-08-31,238.0,79395,14.75,,,0,0,128,218,4,15050,474.9623,0:01:53,2023,8,31,Thursday,0,0.0,0,Low
8ttDJfERKlM,SUGARCANE - Dalangin (Teaser),2021-07-30,27.0,79022,2.41,,,6,3,169,24,51,2492,10.9723,0:00:15,2021,7,30,Friday,0,0.0,0,Low
6Lg4_YYoi_8,Leonora,2023-07-25,31.0,78736,2.55,,,0,0,76,4,0,3649,17.7534,0:00:17,2023,7,25,Tuesday,0,0.0,0,Low
sbOHaxeyrAw,SUGARCANE - Leonora (Guitar Cover),2024-05-07,34.0,78037,0.7,,,0,0,47,1,1,1512,6.8376,0:00:18,2024,5,7,Tuesday,0,0.0,0,Low
0aHejc51-cU,I LOVE THIS OFF CAM MOMENTS OF ASHDRES🤭🫶👀THEY ARE SO NATURAL AND REAL‼️#ashdres,2025-04-06,36.0,77648,8.65,,,0,0,3948,90,9,78805,298.843,0:00:23,2025,4,6,Sunday,0,0.0,0,Low
PafWH2lNXmM,LEONORA | SUGARCANE (LYRICS) Ang Dating Tamis ng Pagsasama Nasan na?,2023-07-19,239.0,77125,10.43,,,0,0,91,130,0,13569,614.207,0:02:42,2023,7,19,Wednesday,0,0.0,0,Low
s2HcyTz-WyM,Kayo lamang ang hiling na makasama,2024-04-17,53.0,76485,2.93,,,10,1,183,7,8,3287,23.2054,0:00:25,2024,4,17,Wednesday,0,0.0,0,Low
ahJpLfpEX3k,SUGARCANE - Sinehan (Bass Playthrough),2024-02-11,115.0,75624,1.31,,,1,0,37,2,4,1235,16.695,0:00:48,2024,2,11,Sunday,0,0.0,0,Low
ikUEtz1B8uI,Gunita (Live) | from Project I-Give: An FB Live Event for COVID-19 Efforts,2020-07-11,360.0,75016,6.23,,,121,2,376,85,47,7351,425.037,0:03:28,2020,7,11,Saturday,0,0.0,0,Low
5rJkF6S8HsU,kung maging akin ka // sugarcane 🎵 ( slowed + reverb ),2021-02-18,309.0,74961,7.34,,,0,0,154,124,17,10613,601.1452,0:03:23,2021,2,18,Thursday,0,0.0,0,Low
5NasKMAsRGs,Leonora (Unofficial) Music Video - School Project,2023-12-18,241.0,72683,10.05,,,0,0,132,348,3,9178,208.3024,0:01:21,2023,12,18,Monday,0,0.0,0,Low
79rc7OQVjjE,LEONORA- Sugarcane (lyrics),2023-10-01,235.0,72596,4.71,,,0,0,20,20,0,4452,159.2184,0:02:08,2023,10,1,Sunday,0,0.0,0,Low
Kxj_unUJA7U,JANELLA SALVADOR | I Love You Since 1892 #janellasalvador #kapamilyachannel #marnella #ilys1892,2024-02-29,28.0,70125,1.36,,,0,0,95,0,0,2193,11.0354,0:00:19,2024,2,29,Thursday,0,0.0,0,Low
xnCMG6TMnNQ,Gabi,2022-03-10,226.0,68877,6.5,,,1,0,1070,380,8,148101,6463.0752,0:02:37,2022,3,10,Thursday,0,0.0,0,Low
_3LGqHhI0pM,Leonora - Sugarcane (Lyrics),2023-08-08,235.0,68111,6.57,,,0,0,15,21,0,7886,360.2914,0:02:44,2023,8,8,Tuesday,0,0.0,0,Low
SudnpqFwtT8,SUGARCANE || LEONORA || Lyrics Video,2023-07-25,233.0,67577,7.18,,,0,0,33,36,0,7213,279.7704,0:02:19,2023,7,25,Tuesday,0,0.0,0,Low
-NQ1r7KQ04c,leonora - sugarcane // slowed & reverb,2023-08-19,277.0,62832,12.12,,,0,0,109,128,5,14174,769.0585,0:03:15,2023,8,19,Saturday,0,0.0,0,Low
XC1zekZvJu8,bituin - sugarcane (slowed+reverb),2020-08-15,227.0,62013,3.13,,,0,0,43,31,2,4657,162.557,0:02:05,2020,8,15,Saturday,0,0.0,0,Low
JklwPguCg6M,Leonora lyrics By Sugarcane,2023-07-10,228.0,60298,8.23,,,0,0,29,28,0,8325,381.6533,0:02:45,2023,7,10,Monday,0,0.0,0,Low
_xJNh1wwK9w,ang sakit😭 #90s #stefanomori #camilleprats #gimik,2024-03-10,22.0,60205,0.7,,,0,0,81,0,0,2360,10.9439,0:00:16,2024,3,10,Sunday,0,0.0,0,Low
IARU1Mzn4g8,Padre Salvi | Alexei Jabez,2023-06-28,14.0,59982,1.48,,,0,0,26,0,1,1962,6.0722,0:00:12,2023,6,28,Wednesday,0,0.0,0,Low
-57OVjteEQw,Maria Clara,2024-03-07,274.0,59583,4.41,,,0,0,3289,822,29,406438,20127.9815,0:02:58,2024,3,7,Thursday,0,0.0,0,Low
IeKZeYvbFC4,"""MARIA CLARA"" IS OUT NOW EVERYWHERE! STREAM ON SPOTIFY!!",2024-03-07,15.0,57825,0.96,,,4,0,109,5,6,1575,5.9925,0:00:14,2024,3,7,Thursday,0,0.0,0,Low
C7MtYT6bTQU,"""Ano ang Lagi Nalang Niyo"" Episode 3: Career",2024-12-18,1007.0,57495,1.34,,,5,1,34,4,3,1482,36.5401,0:01:28,2024,12,18,Wednesday,0,0.0,0,Low
2UliMTgqCjE,SUGARCANE - Maria Clara (Bass Playthrough),2024-04-05,213.0,56310,1.72,,,5,0,63,12,3,1377,37.3506,0:01:37,2024,4,5,Friday,0,0.0,0,Low
WsMMBL_vxhk,Tanging Ikaw - Sugarcane [LYRICS],2025-02-14,184.0,55913,19.99,,,0,0,81,514,0,19824,755.4053,0:02:17,2025,2,14,Friday,0,0.0,0,Low
OPSZXVlfDk4,Leonora - SUGARCANE (Cover by Dennis Licup),2023-04-30,251.0,54640,6.82,,,0,0,146,38,18,4638,120.2572,0:01:33,2023,4,30,Sunday,0,0.0,0,Low
pjj7g0kUVnE,SUGARCANE - Maria Clara (Lead Guitar Playthrough),2024-04-05,84.0,53695,2.95,,,8,0,58,15,4,2000,28.5897,0:00:51,2024,4,5,Friday,0,0.0,0,Low
vb4SnYSNVP0,07/26/24,2024-07-19,40.0,53652,1.46,,,11,1,159,7,27,1403,10.392,0:00:26,2024,7,19,Friday,0,0.0,0,Low
6ANXCyWg8gY,Sugarcane | Gabi | Lyrics,2020-03-17,238.0,52850,6.61,,,0,0,65,109,2,5584,206.3573,0:02:13,2020,3,17,Tuesday,0,0.0,0,Low
3MI9YEos8as,[COVER] Leonora - Sugarcane,2023-10-25,231.0,52568,3.73,,,0,0,23,16,1,2258,44.4147,0:01:10,2023,10,25,Wednesday,0,0.0,0,Low
vT_RjNVrWBg,SUGARCANE - Kung Maging Akin Ka (Lyrics) || Wala nang hahanapin pang iba,2021-02-28,256.0,52253,9.4,,,0,0,94,140,3,8335,394.7393,0:02:50,2021,2,28,Sunday,0,0.0,0,Low
BfOui_0s2Eg,Francine Diaz MV Sugarcane Sinehan 🎦😍 #fractured #franseth #abscbn #dirtylinen #trending #viral,2023-09-22,17.0,52039,2.5,,,0,0,422,2,5,4339,19.9076,0:00:16,2023,9,22,Friday,0,0.0,0,Low
QGkJr301sA0,"""Ano ang Lagi Nalang Niyo"" Episode 1: Friendship",2024-12-04,760.0,51906,1.17,,,11,1,61,16,5,979,41.7295,0:02:33,2024,12,4,Wednesday,0,0.0,0,Low
SlQqiXE5aJg,SUGARCANE is live!,2024-03-08,1767.0,51900,2.42,,,10,1,58,4,2,1922,51.4452,0:01:36,2024,3,8,Friday,0,0.0,0,Low
98KhJjr1zSI,Yow and Tyang Venice # #teampayaman,2024-07-10,57.0,51238,4.44,,,0,0,57,3,0,4808,36.3554,0:00:33,2024,7,10,Wednesday,0,0.0,0,Low
NrYdEJbfBGI,"Happy 1st anniversary, langga 🥰",2025-03-12,5.0,51094,5.5,,,0,0,4679,35,165,24981,84.1823,0:00:12,2025,3,12,Wednesday,0,0.0,0,Low
Tj2Q4ENdaGM,Rob Deniel - Ang Pag-ibig #gardensessions #opm #fypmusic,2023-04-22,61.0,51025,3.47,,,8,0,101,0,2,3808,39.5565,0:00:37,2023,4,22,Saturday,0,0.0,0,Low
Z3yoC_hqxfo,SUGARCANE is live!,2024-05-24,2635.0,50560,2.79,,,24,1,55,6,6,2853,81.2419,0:01:42,2024,5,24,Friday,0,0.0,0,Low
O4s64rJGMHM,[SONG COVER] SUGARCANE - LEONORA,2023-04-29,229.0,50423,5.89,,,0,0,78,55,4,3766,95.1668,0:01:30,2023,4,29,Saturday,0,0.0,0,Low
qYz_LeSevrI,SUGARCANE - Maria Clara (Flute Playthrough),2024-04-05,97.0,48400,3.63,,,11,1,110,28,6,2500,30.2829,0:00:43,2024,4,5,Friday,0,0.0,0,Low
sSIhh7O4yOc,Leonora - SUGARCANE | YUHI COVER,2023-07-18,231.0,47673,14.04,,,0,0,177,119,10,9059,312.0977,0:02:04,2023,7,18,Tuesday,0,0.0,0,Low
wg7Pt1v7-cM,Pre-save here ✨sugarcane.lnk.to/presave_mariaclara,2024-03-03,21.0,47197,0.54,,,2,0,62,6,3,959,3.7611,0:00:14,2024,3,3,Sunday,0,0.0,0,Low
RL1KUyJVJRc,|| Leonora - sped up || w/ Lyrics || (Read Desc.) ||,2023-06-20,194.0,47112,9.27,,,0,0,67,75,3,7035,294.198,0:02:30,2023,6,20,Tuesday,0,0.0,0,Low
HdC56cGYJBc,Leonora - SUGARCANE,2023-04-07,16.0,46324,2.77,,,1,0,94,6,2,2215,9.2447,0:00:15,2023,4,7,Friday,0,0.0,0,Low
JGck6s0PLP8,Gabi,2020-01-27,226.0,45276,9.77,,,1,0,173,72,5,12246,559.3468,0:02:44,2020,1,27,Monday,0,0.0,0,Low
k8_mP5Amjgc,DAMING PAGSUBOK PERO NANATILING MATATAG PARIN 🥰,2025-03-13,10.0,45151,6.22,,,0,0,3613,37,92,18632,97.6346,0:00:19,2025,3,13,Thursday,0,0.0,0,Low
_bE6_QsgYVw,I Love You Since 1892 feels 😍 Leonora by Sugarcane #MarloMortel #JanellaSalvador #MarNella #AbsCbn,2023-08-21,32.0,43287,1.01,,,0,0,50,2,1,1141,5.4141,0:00:17,2023,8,21,Monday,0,0.0,0,Low
JZvoQgs65SE,SUGARCANE is going live!,2023-09-22,3586.0,43063,3.51,,,45,4,79,12,4,2961,108.9062,0:02:12,2023,9,22,Friday,0,0.0,0,Low
daF8sdKw9PI,"PAALAM, LEONORA - Sugarcane (Lyrics)",2023-12-21,234.0,42338,2.36,,,0,0,4,31,0,1275,33.968,0:01:35,2023,12,21,Thursday,0,0.0,0,Low
UXDEWdrxkT0,Sugarcane - Set You Free (Lyrics),2023-11-25,278.0,42159,8.41,,,0,0,36,76,1,6575,369.1157,0:03:22,2023,11,25,Saturday,0,0.0,0,Low
Zbmd0G4Rvv0,"Hi Donny and Belle, ingat sa taping lagi #DonBelle #DonnyPangilinan  #BelleMariano #cantbuymelove",2023-10-06,10.0,41991,3.65,,,0,0,524,5,2,6508,28.6274,0:00:15,2023,10,6,Friday,0,0.0,0,Low
CJz11QmVzIE,Gunita (lyrics) - Sugarcane,2022-11-27,334.0,41718,10.65,,,0,0,53,70,0,7644,458.8372,0:03:36,2022,11,27,Sunday,0,0.0,0,Low
41B8yFFn3pY,MY FOREVER LANGGA 🥰,2025-03-20,4.0,41583,10.73,,,0,0,4611,52,184,30771,136.256,0:00:22,2025,3,20,Thursday,0,0.0,0,Low
YdQJJ_boUyQ,Dalangin Live Countdown,2021-08-01,3816.0,41231,2.32,,,9,1,75,13,2,1231,62.6492,0:03:03,2021,8,1,Sunday,0,0.0,0,Low
Sm9z_ylc6Uw,163rd Birth of Jose Rizal,2024-06-19,46.0,39807,2.44,,,0,0,77,2,6,8671,33.8769,0:00:15,2024,6,19,Wednesday,0,0.0,0,Low
krGw2A5HAyU,"""Ano ang Lagi Nalang Niyo"" Episode 2: Relationships",2024-12-11,1068.0,38173,1.23,,,0,0,38,8,4,738,42.2625,0:03:26,2024,12,11,Wednesday,0,0.0,0,Low
MUfNvOeZ-B4,"""𝐏𝐀𝐆𝐁𝐈𝐆𝐘𝐀𝐍"" 𝐌𝐔𝐒𝐈𝐂 𝐕𝐈𝐃𝐄𝐎, 𝐎𝐔𝐓 𝐍𝐎𝐖",2024-07-26,37.0,37743,0.76,,,1,0,49,2,1,636,2.7707,0:00:17,2024,7,26,Friday,0,0.0,0,Low
y7Z6Y3ml2Pw,"""Leonora"" is out now on Spotify and Apple Music 🫶",2023-04-13,26.0,37666,2.69,,,3,0,109,10,5,2025,10.9437,0:00:19,2023,4,13,Thursday,0,0.0,0,Low
O-JAsd-bbpk,Sinehan,2023-09-21,198.0,37347,5.41,,,0,0,1183,400,13,166426,6468.6499,0:02:19,2023,9,21,Thursday,0,0.0,0,Low
4HtFklkUtvI,POV: hinaharana ka namin  #leonora #leonorabysugarcane #OPM #joserizzal #leonorrivera,2023-04-20,42.0,36722,1.44,,,2,0,78,5,4,1233,9.1264,0:00:26,2023,4,20,Thursday,0,0.0,0,Low
5AGKZN097WA,leonora - sugarcane (cover),2024-02-02,232.0,36336,3.09,,,0,0,16,13,0,1411,42.0862,0:01:47,2024,2,2,Friday,0,0.0,0,Low
