Content,Video title,Video publish time,Duration,Impressions,Impressions click-through rate (%),Average views per viewer,New viewers,Subscribers gained,Subscribers lost,Likes,Shares,Comments added,Views,Watch time (hours),Average view duration,Year,Month,Day,Day_of_Week,Hour,Duration_seconds,Performance Cluster,Performance Label
1InUaDEUPws,angelic goddess😍🫠🪽🤍🏆🫶 #beckyarmstrong #beckysangel #freenbecky #9entertainawards2025 #freenbeck,2025-05-25,60.0,903,5.98,,,0,0,64,1,1,962,2.1112,0:00:19,2025,5,25,Sunday,0,0.0,0,Low
aSBuNikqC6w,#leonora #fyp #fypyoutube #ibongadarna,2025-04-04,34.0,892,3.03,,,0,0,5,0,0,397,0.5654,0:00:19,2025,4,4,Friday,0,0.0,0,Low
HRiHvhhCP0w,Cara kerja paru2,2022-09-29,21.0,890,3.03,,,0,0,3,1,0,230,0.7901,0:00:12,2022,9,29,Thursday,0,0.0,0,Low
CBNL5o_mpWY,LEONORA BY SUGARCANE (PLANETSHAKERS EDIT!) #planetshakers #edits #shorts,2023-10-09,19.0,873,0.34,,,0,0,1,0,0,123,0.3352,0:00:13,2023,10,9,Monday,0,0.0,0,Low
S8IwHxtR96s,Leonora with Ashdres muhlach fam,2025-04-04,29.0,845,2.13,,,0,0,7,0,0,581,0.7276,0:00:13,2025,4,4,Friday,0,0.0,0,Low
TK1ip7EZ_OU,#butterfly,2023-04-15,28.0,843,1.07,,,0,0,4,0,1,22,0.0946,0:00:15,2023,4,15,Saturday,0,0.0,0,Low
l1RvadjgUnE,guys kahit Anong mang yari milmi parin Tayo guys stay strong #runcavmanagement #milmi,2025-06-22,15.0,838,3.94,,,0,0,74,0,1,1339,1.9824,0:00:09,2025,6,22,Sunday,0,0.0,0,Low
CDWUscZVHFs,Leonora - Sugarcane #shorts,2023-06-13,32.0,801,1.87,,,0,0,1,1,0,37,0.2826,0:00:28,2023,6,13,Tuesday,0,0.0,0,Low
mn3SS2tDQlQ,"tulad nga ng kanta, dumating na daw ang tinadhana kaso paano may Jackie si Roberto? #albertmartinez",2025-06-19,27.0,800,3.88,,,0,0,17,0,0,948,3.0087,0:00:19,2025,6,19,Thursday,0,0.0,0,Low
PcA6Ih63Hbs,Sugarcane,2025-01-12,7.0,797,0.75,,,0,0,13,2,0,806,1.805,0:00:09,2025,1,12,Sunday,0,0.0,0,Low
F6wKLx75aOQ,Who remembers South Park In San Severo? #shorts #southpark #southparkinsansevero #sansevero,2025-05-02,19.0,779,2.7,,,0,0,4,0,0,788,0.5416,0:00:12,2025,5,2,Friday,0,0.0,0,Low
J1ZglGuXa4k,beautiful night lamp #3dnightlamp #ledlamp #buynow #buyhere ➡️ #tiktokshop (nila.recos) #shorts #fyp,2024-03-23,24.0,770,0.13,,,0,0,1,0,0,59,0.2009,0:00:12,2024,3,23,Saturday,0,0.0,0,Low
gPs-S4qrI7k,Tanging Ikaw,2025-07-03,177.0,768,3.52,,,0,0,22,1,2,667,23.4669,0:02:06,2025,7,3,Thursday,0,0.0,0,Low
V65MImnQ3Rs,Kiana x Jyahnar edit [GGZ] {Leonora by Sugarcane},2025-05-01,21.0,754,3.85,,,0,0,3,0,0,94,0.2239,0:00:15,2025,5,1,Thursday,0,0.0,0,Low
JC6h1k0DBnI,"December 18, 2023",2023-12-18,16.0,751,5.59,,,0,0,15,1,1,166,0.3984,0:00:09,2023,12,18,Monday,0,0.0,0,Low
v7d5ix86F1I,Quick ride before the sun goes down. #KawasakiW175 #Wasak,2023-04-20,60.0,747,0.0,,,0,0,1,0,0,2,0.0085,0:00:15,2023,4,20,Thursday,0,0.0,0,Low
11EO08Sy5EY,Trucking's Life 😍 #truck #sugarcane #travel #natureslover #,2024-11-22,50.0,734,3.13,,,0,0,17,0,13,210,1.0261,0:00:17,2024,11,22,Friday,0,0.0,0,Low
HXy8WnUZ2wI,REYNA ELENA 2024 #floresdemayo,2024-05-30,53.0,728,0.82,,,0,0,8,0,0,440,1.4658,0:00:12,2024,5,30,Thursday,0,0.0,0,Low
_JpijyqmPsE,saming bakuran #harana🥰,2024-10-13,61.0,728,0.27,,,0,0,11,0,2,442,3.6796,0:00:30,2024,10,13,Sunday,0,0.0,0,Low
oSyM0N4qNt4,up till sunrise. #minecraft,2024-06-10,41.0,719,0.56,,,0,0,20,0,1,648,3.4004,0:00:19,2024,6,10,Monday,0,0.0,0,Low
YcEjenJGEJU,"Leonora, Wooden flute",2025-05-28,49.0,710,2.68,,,0,0,3,0,0,165,0.3285,0:00:19,2025,5,28,Wednesday,0,0.0,0,Low
Gk5WAdhXbZI,Ang e-jeep ng mga pampublikong paaralan sa #Imus #Cavite #Deped #GEANHS #public #school #philippines,2025-07-12,13.0,701,5.56,,,0,0,9,1,0,1804,2.1212,0:00:11,2025,7,12,Saturday,0,0.0,0,Low
Asnm-51CDm8,ILYS1892 Vibes,2025-04-03,23.0,693,0.87,,,0,0,2,0,0,384,0.3367,0:00:14,2025,4,3,Thursday,0,0.0,0,Low
be1gQlmd_5c,#sugarcane_gabi,2023-02-27,59.0,685,1.9,,,0,0,15,0,1,46,0.4076,0:00:32,2023,2,27,Monday,0,0.0,0,Low
7VqbeUcAw8E,Paro paro lilipad lipad #shortvideo,2023-08-08,16.0,679,1.47,,,0,0,3,0,2,41,0.1617,0:00:14,2023,8,8,Tuesday,0,0.0,0,Low
k2fPjWkV5Ts,Rizal Monument through the Years,2023-09-27,22.0,677,1.62,,,0,0,9,0,1,835,2.5532,0:00:11,2023,9,27,Wednesday,0,0.0,0,Low
KvahidxwmT4,উত্তরপ্রদেশের আখের ক্ষেত # Sugarcane Field # UP,2024-06-13,16.0,659,1.21,,,0,0,1,0,0,93,0.2324,0:00:09,2024,6,13,Thursday,0,0.0,0,Low
aw5q19vxEHA,So. Sweeeettttt #fayeyoko #blanket #blanktheseries #top,2024-08-31,40.0,655,1.68,,,0,0,16,0,0,223,1.1045,0:00:19,2024,8,31,Saturday,0,0.0,0,Low
DZTYvIkoFh0,Leonora #sugarcane #music #youtubeshorts,2025-04-13,61.0,649,2.31,,,0,0,11,9,0,940,2.3272,0:00:25,2025,4,13,Sunday,0,0.0,0,Low
jGCrlJH9ho8,ചൂടായാല്‍ നിറം മാറുന്ന സിലിക്ക ക്രിസ്റ്റൽ. ഈർപ്പം വലിച്ചെടുത്താൽ വീണ്ടും ഇവ പഴയ നിറമാകും.,2023-02-06,17.0,649,0.92,,,0,0,5,0,0,238,0.6541,0:00:09,2023,2,6,Monday,0,0.0,0,Low
AceSgXBjiDg,#franseth lagi nila suot Ang couple necklace nilasan man Sila mag puntah#sethfedelin@FrancineCDiaz,2023-07-03,23.0,648,4.17,,,0,0,12,0,0,243,1.0947,0:00:18,2023,7,3,Monday,0,0.0,0,Low
nEyxh-8VCTw,GEC_ART #leonora,2024-04-21,25.0,647,0.46,,,0,0,1,1,0,18,0.0245,0:00:15,2024,4,21,Sunday,0,0.0,0,Low
rnqCSW2-49c,Ang ganda ganda ni colet #binicolet,2025-03-04,21.0,646,6.66,,,0,0,42,0,1,617,2.3885,0:00:14,2025,3,4,Tuesday,0,0.0,0,Low
y9HpTPOSKmM,"Oh, ikaw ang pinakamagandang dalaga! | STREAM MARIA CLARA by SUGARCANE",2024-03-18,40.0,646,2.17,,,0,0,3,0,0,32,0.1322,0:00:15,2024,3,18,Monday,0,0.0,0,Low
ZBo3UTX-E0Y,#pov : eme na sa MV ka ng Leonora #sugarcane #leonora,2024-12-15,48.0,641,0.62,,,0,0,11,0,1,516,2.6044,0:00:18,2024,12,15,Sunday,0,0.0,0,Low
tQNRlb-su1k,Maria Clara monologue,2024-05-02,60.0,639,2.66,,,0,0,1,0,0,25,0.1582,0:00:22,2024,5,2,Thursday,0,0.0,0,Low
f8j021aUTTk,Paalam Leonora - Sugarcane #dreamerlyricofficial #overlay #fypシ゚viral #sugarcane #songlyrics,2025-06-19,33.0,622,0.32,,,0,0,0,0,0,33,0.085,0:00:28,2025,6,19,Thursday,0,0.0,0,Low
p3w1NNqyjHI,thailand sir,2023-04-01,12.0,602,0.66,,,0,0,3,0,0,13,0.0275,0:00:07,2023,4,1,Saturday,0,0.0,0,Low
