"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Other Clicks","Matched Audience Targeting Consumption (Photo Click)","Link Clicks","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)"
1126419138845097,100044310645639,SUGARCANE,"Ikaw pa rin ang peyborit kong gawa ni tita 🥰

Stream ""Lagi Na Lang"" here: sugarcane.lnk.to/laginalang","Ikaw pa rin ang peyborit kong gawa ni tita 🥰

Stream ""Lagi Na Lang"" here: sugarcane.lnk.to/laginalang",18,"11/11/2024 21:00",N/A,https://www.facebook.com/reel/1112258523838423/,1,0,Reels,,,,,Lifetime,7310,6936,116,109,2,5,0,,,,41034.513,6.217,0
1126593288827682,100044310645639,SUGARCANE,"Diyan ka magaling eh, umiwas 🫵😂 

Stream Lagi Na Lang!
sugarcane.lnk.to/laginalang","Diyan ka magaling eh, umiwas 🫵😂 

Stream Lagi Na Lang!
sugarcane.lnk.to/laginalang",18,"11/12/2024 03:12",N/A,https://www.facebook.com/reel/1359957942078468/,1,0,Reels,,,,,Lifetime,63791,62516,1116,878,73,165,0,,,,360778.731,6.151,0
1127092748777736,100044310645639,SUGARCANE,"""Lagi Na Lang"" OUT NOW!!

Stream here: sugarcane.lnk.to/laginalang","""Lagi Na Lang"" OUT NOW!!

Stream here: sugarcane.lnk.to/laginalang",26,"11/12/2024 20:38",N/A,https://www.facebook.com/reel/607079935086115/,1,0,Reels,,,,,Lifetime,7387,6912,261,245,5,11,0,,,,59933.853,8.902,0
1127275185426159,100044310645639,SUGARCANE,"See you sa November 16, 1PM, sa Isetann_Official!! 🪢",,0,"11/13/2024 03:17",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0988pBJRoCt96xxZ2U9mvjLV1SqJ1RoyBAmLxAdE3ThgjRxw9bVBdc7NTLiUwWp7Ll,0,1,Photos,,,,,Lifetime,4037,2652,79,71,4,4,145,85,60,,,,
1127324422087902,100044310645639,SUGARCANE,"#WePlayHereSchoolTour in Ateneo was a blast ❤️‍🔥

Thank you SugarFolks for showing up and making it a day to remember! 🪢

Stream “Lagi Na Lang” here:  
https://sugarcane.lnk.to/laginalang

Warner Music Philippines
We Play Here",,0,"11/13/2024 04:43",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02fFPRdoAzbcFajapFzC3sjyCp8g763wYdnPqSmdM77DZhcUknP674qB8GY7R3pK1ul,0,0,Photos,,,,,Lifetime,7791,4053,229,204,9,16,289,119,169,1,,,
1127786342041710,100044310645639,SUGARCANE,"Sana madapa ka :(

Stream ""Lagi Na Lang"" here: sugarcane.lnk.to/laginalang","Sana madapa ka :(

Stream ""Lagi Na Lang"" here: sugarcane.lnk.to/laginalang",16,"11/13/2024 22:03",N/A,https://www.facebook.com/reel/890630676532054/,1,0,Reels,,,,,Lifetime,20882,18630,466,418,8,40,0,,,,136916.231,7.576,0
1127982658688745,100044310645639,SUGARCANE,"LAST CALL!! 📢📣

Sa mga walang gagawin sa sat, tara sa Isetann, 1pm! Haranahin namin kayo ❤️",,0,"11/14/2024 05:05",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02NrAfQZRzW1GXf32t7HoxwRxsvQND8TMumttSFbXonAtfsHZUwthR6XrERfb5ffMTl,0,1,Videos,,,,,Lifetime,,1902,96,87,9,0,96,96,,,,,
1128383241982020,100044310645639,SUGARCANE,"Manila peeps!! Free gig tomorrow, g? 📢

🗓️: November 16, 1PM 
📍: Isetann_Official Mall Recto 
‼️ Get the chance to also win a 𝐁𝐞𝐚𝐭𝐬 𝐒𝐭𝐮𝐝𝐢𝐨 𝐏𝐫𝐨 𝐖𝐢𝐫𝐞𝐥𝐞𝐬𝐬 𝐇𝐞𝐚𝐝𝐩𝐡𝐨𝐧𝐞𝐬 and 𝐒𝐮𝐠𝐚𝐫𝐜𝐚𝐧𝐞 𝐨𝐟𝐟𝐢𝐜𝐢𝐚𝐥 𝐩𝐨𝐬𝐭𝐞𝐫 𝐚𝐧𝐝 𝐬𝐭𝐢𝐜𝐤𝐞𝐫𝐬! 🎧

PS. You can 𝐆𝐞𝐭 𝐏𝟒𝟎 𝐜𝐚𝐬𝐡𝐛𝐚𝐜𝐤 on every P1,000 single-receipt purchase at Isetann Dept Store and Isetann Supermarket from November 15-17, 2024. Find the perfect gifts for your loved ones with 𝐮𝐩 𝐭𝐨 𝟓𝟎% 𝐨𝐟𝐟 on selected department store items and a chance to be one of the 𝟑 𝐥𝐮𝐜𝐤𝐲 𝐰𝐢𝐧𝐧𝐞𝐫𝐬 𝐨𝐟 𝐁𝐞𝐚𝐭𝐬 𝐒𝐭𝐮𝐝𝐢𝐨 𝐏𝐫𝐨 𝐖𝐢𝐫𝐞𝐥𝐞𝐬𝐬 𝐇𝐞𝐚𝐝𝐩𝐡𝐨𝐧𝐞𝐬! 🎧",,0,"11/14/2024 19:23",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02PAjUV1jgKiFWAL8KaA4UKBGWhoCLGHte7tRfgxiJwZP123UbajXvUAxZpaKk9gF1l,0,0,Photos,,,,,Lifetime,12861,6641,343,308,14,21,479,238,241,,,,
1128503275303350,100044310645639,SUGARCANE,"Bakit ganon 😭

Stream ""Lagi Na Lang"" here: sugarcane.lnk.to/laginalang","Bakit ganon 😭

Stream ""Lagi Na Lang"" here: sugarcane.lnk.to/laginalang",19,"11/14/2024 23:52",N/A,https://www.facebook.com/reel/586866907057832/,1,0,Reels,,,,,Lifetime,50083,46914,2436,1967,141,328,0,,,,196495.517,4.234,0
1129861435167534,100044310645639,SUGARCANE,"Ako 'di niyo kakamustahin? 

Stream ""Lagi Na Lang"" here: sugarcane.lnk.to/laginalang","Ako 'di niyo kakamustahin? 

Stream ""Lagi Na Lang"" here: sugarcane.lnk.to/laginalang",18,"11/17/2024 00:09",N/A,https://www.facebook.com/reel/540533498826890/,1,0,Reels,,,,,Lifetime,74338,71602,2413,1846,168,399,0,,,,391610.311,5.768,0
1130503968436614,100044310645639,SUGARCANE,"Edi enjoy 🥲

Stream Lagi Na Lang here: sugarcane.lnk.to/laginalang","Edi enjoy 🥲

Stream Lagi Na Lang here: sugarcane.lnk.to/laginalang",20,"11/17/2024 23:38",N/A,https://www.facebook.com/reel/1270339707553091/,1,0,Reels,,,,,Lifetime,20061,17472,428,366,20,42,0,,,,143862.621,7.962,0
