video_id,title,views,likes,shares,comments_added,saves,publish_time,url
tkvid_440,This song fits so much to flex your gf !,369700,2917,160,118,989,2025-02-01 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7466292706214808850?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_436,#TangingIkaw OUT NOW ON SPOTIFY!,346200,36000,2643,275,5119,2025-01-30 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7465640909950946568?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_238,OUT NOW! - Sinehan (Official Music Video) Special thanks to our featured artist @Francine Diaz,342900,21200,312,119,178,2023-09-25 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7282592326692703493?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_427,Perfect first kiss song??  Pre-save link on bio!,340900,52900,2473,304,6355,2025-01-16 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7460439468311383303?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_486,try lang new feature HAHHAHA #goodmorning #fyp #leonora #tiktokmusikat #layout,339700,56000,4729,217,3462,2025-08-14 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7538210793121238280?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_152,“Leonora” is out now on Youtube and Spotify  Stream now!,324500,40600,615,149,2028,2023-04-11 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7220738721329483034?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_167,akala nyo ibang content na no?? hindi!!! leonora pa rin yan!,298700,57800,423,530,3574,2023-04-18 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7223337246445866245?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_181,Otw na kami para hanapin ang dating tamis ng pagsasama,285000,62200,657,358,4463,2023-04-26 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7226294314027011333?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_306,Pano kung may chance pa pala?,283000,27800,271,118,2874,2024-03-24 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7349888982781660422?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_193,idol niyo pagod na,280900,58500,1695,579,2920,2023-05-04 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7229259894484995334?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_143,What if i-release na namin ‘to?,271500,46100,366,135,4145,2023-03-28 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7215595322121145605?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_161,Heaviest part of the song  Stream “Leonora” by us!,267300,39200,616,257,4821,2023-04-15 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7222248949602700550?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_174,Abangan namin cover niyo ha,267300,11000,811,154,1890,2023-04-22 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7224823568528461061?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_149,Time to flex that special someone,264900,23100,340,228,8930,2023-04-08 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7219605187164556550?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_200,Relate ka ba? Share mo naman sa comment section yan!,248800,37300,1261,358,3108,2023-05-11 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7231803460436512005?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_474,Leonora sequel: Maria Clara #leonora #mariaclara #fyp #opm #thesugarcaneph,248400,27900,571,64,2585,2025-02-22 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7474172976309603591?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_171,Leonora - Official Guitar Chords. Watch the full video on Youtube,244600,14100,175,198,2880,2023-04-20 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7224086242395213062?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_154,Out now on all music platforms!,244200,50400,1008,266,6716,2023-04-13 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7221348643939437829?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_441,#TangingIkaw Out now! Flex mo na ang babycakes mo,229000,14400,618,124,4435,2025-02-01 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7466382010945113362?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_148,Leonora - SUGARCANE,221400,1100,335,50,1218,2023-04-07 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7219161468615281947?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_199,"Timelapse of the creation of “Paalam, Leonora”’s single art by Felix Gasmen  IG: @artsbyfelix",218800,34700,462,52,3197,2023-05-10 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7231395353122147589?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
