Post ID,Page ID,Page name,Title,Description,Duration sec,Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Other Clicks,Matched Audience Targeting Consumption Photo Click,Link Clicks,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Negative feedback from users: Hide
1182384679915200.00,100044310645639.00,SUGARCANE,"𝐇𝐚𝐩𝐩𝐲 𝟏𝟎𝟎𝐊 #𝐓𝐚𝐧𝐠𝐢𝐧𝐠𝐈𝐤𝐚𝐰✨

Our fastest 100K yet, you all made it possible in less than 3 days! Kayo ang ""Tanging Ikaw"" namin palagi, folks. Can't wait to sing this song to all of you live. 🪢",,0,2/2/2025 3:56,N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02a7SkVxAvP1Q1cVHZkAqV5zBdvwDjH2X8PLf9294xbGgwhCZCQMVW7PcDkCzNEZH8l,0,0,Photos,,,,,Lifetime,12574,6529,651,564,36,51,393,281,112,,,,,
1182309649922710.00,100044310645639.00,SUGARCANE,"BAGONG KANTA! 

""Tanging Ikaw"" Out Now!

stream here: sugarcane.lnk.to/tangingikaw","BAGONG KANTA! 

""Tanging Ikaw"" Out Now!

stream here: sugarcane.lnk.to/tangingikaw",82,2/2/2025 1:32,N/A,https://www.facebook.com/reel/1087597346387928/,1,0,Reels,,,,,Lifetime,43300,39155,3075,2868,39,168,0,,,,1019602.995,26.129,0,
1181662263320780.00,100044310645639.00,SUGARCANE,SUGARCANE's Video,,40,2/1/2025 2:46,mixed,https://www.facebook.com/reel/942975857559893/,1,0,Reels,,,,,Lifetime,9428,8835,419,365,16,38,0,,,,82020.062,9.318,,
1180982580055410.00,100044310645639.00,SUGARCANE,"""Tanging Ikaw"" Out Now on Spotify!!

Stream here: sugarcane.lnk.to/tangingikaw","""Tanging Ikaw"" Out Now on Spotify!!

Stream here: sugarcane.lnk.to/tangingikaw",48,1/31/2025 2:35,mixed,https://www.facebook.com/reel/3039433216209704/,1,0,Reels,,,,,Lifetime,20802,19182,757,684,7,66,0,,,,228666.743,11.701,0,
1180484686771870.00,100044310645639.00,SUGARCANE,SUGARCANE updated their cover photo.,,0,1/30/2025 8:00,N/A,https://www.facebook.com/photo.php?fbid=1180484686771875&set=a.228682271952126&type=3,0,0,Photos,,,,,Lifetime,169,65,135,124,2,9,1,1,,,,,,
1180484406771900.00,100044310645639.00,SUGARCANE,"‘𝐓𝐚𝐧𝐠𝐢𝐧𝐠 𝐈𝐤𝐚𝐰’ 𝐨𝐮𝐭 𝐧𝐨𝐰 𝐨𝐧 𝐚𝐥𝐥 𝐝𝐢𝐠𝐢𝐭𝐚𝐥 𝐩𝐥𝐚𝐭𝐟𝐨𝐫𝐦𝐬 🪢 

https://tinyurl.com/tangingikaw

Composed by: Cedric Angeles, Froilan Bautista, Frain Reyes, Carl Guerzon
Produced by: Brian Lotho
Mixed by: Jay Dufour
Mastered by: João Carvalho

Warner Music Philippines 
Sarah Ismail
Kelley Mangahas 
Rem Brofar 
Celine Ferros",,0,1/30/2025 8:00,N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0X4xmMfRHZxRQbJ7UkaAUCGPCPsNC8DGJtV4KJLqyYeebXyfWGzi9J1qervoCYWAzl,0,0,Photos,,,,,Lifetime,18187,8845,902,721,35,146,604,412,170,22,,,,
1180329340120740.00,100044310645639.00,SUGARCANE,"mamayang 12mn na to! 🫶 Stream on Spotify

#tangingikaw","mamayang 12mn na to! 🫶 Stream on Spotify

#tangingikaw",41,1/30/2025 3:12,mixed,https://www.facebook.com/reel/1657049451833575/,1,0,Reels,,,,,Lifetime,14906,12517,857,705,27,125,0,,,,113280.004,8.353,0,
1180151813471820.00,100044310645639.00,SUGARCANE,"See you on Saturday at DON BOSCO Mabalacat's Youth Fest 2025! 🎆

📅: February 1, 2025, 4PM
📍: Don Bosco Academy Mabalacat, Pampanga
🎟️: Event is open for outsiders

𝐎𝐧𝐥𝐢𝐧𝐞 𝐭𝐢𝐜𝐤𝐞𝐭 𝐩𝐮𝐫𝐜𝐡𝐚𝐬𝐞𝐦𝐞𝐧𝐭: https://youthfest.helixpay.ph

𝐏𝐡𝐲𝐬𝐢𝐜𝐚𝐥 𝐭𝐢𝐜𝐤𝐞𝐭 𝐩𝐮𝐫𝐜𝐡𝐚𝐬𝐞𝐦𝐞𝐧𝐭 from 𝐃𝐁 𝐌𝐚𝐛𝐚𝐥𝐚𝐜𝐚𝐭'𝐬 𝐜𝐚𝐬𝐡𝐢𝐞𝐫 or through their 𝐬𝐞𝐥𝐞𝐜𝐭𝐞𝐝 𝐩𝐚𝐫𝐭𝐧𝐞𝐫 𝐬𝐜𝐡𝐨𝐨𝐥𝐬:
• 𝐃𝐨𝐧 𝐁𝐨𝐬𝐜𝐨 𝐀𝐜𝐚𝐝𝐞𝐦𝐲 𝐁𝐚𝐜𝐨𝐥𝐨𝐫 
• 𝐌𝐚𝐫𝐲 𝐇𝐞𝐥𝐩 𝐨𝐟 𝐂𝐡𝐫𝐢𝐬𝐭𝐢𝐚𝐧𝐬 𝐒𝐜𝐡𝐨𝐨𝐥 𝐨𝐟 𝐏𝐚𝐦𝐩𝐚𝐧𝐠𝐚 (𝐌𝐚𝐛𝐚𝐥𝐚𝐜𝐚𝐭) 
• 𝐇𝐨𝐥𝐲 𝐀𝐧𝐠𝐞𝐥 𝐔𝐧𝐢𝐯𝐞𝐫𝐬𝐢𝐭𝐲 (𝐀𝐧𝐠𝐞𝐥𝐞𝐬) 
• 𝐂𝐡𝐞𝐯𝐚𝐥𝐢𝐞𝐫 𝐒𝐜𝐡𝐨𝐨𝐥 (𝐀𝐧𝐠𝐞𝐥𝐞𝐬)

And from their 𝐩𝐚𝐫𝐭𝐧𝐞𝐫 𝐞𝐬𝐭𝐚𝐛𝐥𝐢𝐬𝐡𝐦𝐞𝐧𝐭𝐬:
• 𝐓𝐨𝐭𝐚𝐥 𝐆𝐚𝐬 𝐒𝐭𝐚𝐭𝐢𝐨𝐧 (𝐧𝐞𝐚𝐫 𝐌𝐚𝐫𝐪𝐮𝐞𝐞) 
• 𝐓𝐡𝐞 𝐕 𝐅𝐚𝐫𝐦 (𝐁𝐚𝐦𝐛𝐚𝐧) 
• 𝐁𝐫𝐞𝐰𝐩𝐨𝐢𝐧𝐭 𝐂𝐚𝐟𝐞 (𝐌𝐚𝐫𝐢𝐬𝐨𝐥) 
• 𝐂𝐮𝐚𝐭𝐫𝐨 𝐃𝐞𝐜𝐚 (𝐂𝐥𝐚𝐫𝐤) 
• 𝐂𝐮𝐚𝐭𝐫𝐨 (𝐀𝐧𝐠𝐞𝐥𝐞𝐬) 
• 𝐈𝐧𝐛𝐨𝐱 𝐏𝐇 (𝐒𝐌 𝐂𝐥𝐚𝐫𝐤)",,0,1/29/2025 20:14,N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid023wF5fznkL5WnXwYyax5CD4zebAC67nBr1Nh1oQdDKiVEYKSMbkHopp9DsLksCXhKl,0,0,Photos,,,,,Lifetime,7917,3982,216,196,2,18,286,117,165,4,,,,
1179693396851000.00,100044310645639.00,SUGARCANE,"#TangingIkaw Out on January 31! ❤️‍🔥
Pre-save here: sugarcane.lnk.to/presavetangingikaw

Thank you palagi, Jess & Pat's! 
📹: Noel, Ivan, & Alyxter of ACNM Media","#TangingIkaw Out on January 31! ❤️‍🔥
Pre-save here: sugarcane.lnk.to/presavetangingikaw

Thank you palagi, @[100064883010295:2048:Jess & Pat's]! 
📹: Noel, Ivan, & Alyxter of @[100080065946395:2048:ACNM Media]",58,1/29/2025 4:17,mixed,https://www.facebook.com/reel/2433032833711486/,0,0,Reels,,,,,Lifetime,2748,1935,145,122,7,16,0,,,,19581.169,7.946,0,
1178327620320910.00,100044310645639.00,SUGARCANE,Wow happy 100th birthday po Lola Leonora 🎉❤️,,0,1/27/2025 7:11,N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid023yY6iFe1ptH6bHreJQCxknMiANoWzGrz8EdHZPKhdQHT6imdhkrufw9v2gpRnhy6l,0,1,Videos,,,,,Lifetime,,1442,123,122,1,0,90,90,,,,,,
1178215980332070.00,100044310645639.00,SUGARCANE,#TangingIkaw Out on Friday 🫶,#TangingIkaw Out on Friday 🫶,64,1/27/2025 3:57,mixed,https://www.facebook.com/reel/661379052920855/,1,0,Reels,,,,,Lifetime,23956,21154,1077,967,28,82,0,,,,329328.54,14.911,0,
1176079543879050.00,100044310645639.00,SUGARCANE,Sayang ang tattoo 😒,Sayang ang tattoo 😒,35,1/24/2025 4:13,uploaded,https://www.facebook.com/reel/484698981032163/,1,0,Reels,,,,,Lifetime,20279,18486,643,554,24,65,0,,,,132832.479,6.983,0,
1175363857283950.00,100044310645639.00,SUGARCANE,"Happy 100M+ Streams “Leonora” 📜 Dahil diyan, storytime muna tayo","Happy 100M+ Streams “Leonora” 📜 Dahil diyan, storytime muna tayo",127,1/23/2025 3:34,mixed,https://www.facebook.com/thesugarcaneph/videos/964059049118460/,0,0,Videos,,,,,Lifetime,641578,640587,33649,30679,267,2703,46978,46947,,31,13824751,23.587,5.68,3
1175283923958610.00,100044310645639.00,SUGARCANE,Leonora x Lagi Na Lang - SUGARCANE at All-Out Sundays 💘✨,"𝐋𝐞𝐨𝐧𝐨𝐫𝐚 𝐱 𝐋𝐚𝐠𝐢 𝐍𝐚 𝐋𝐚𝐧𝐠 💘

Thank you, @[100067402864836:2048:All-Out Sundays], for having us! ✨",205,1/23/2025 0:38,mixed,https://www.facebook.com/thesugarcaneph/videos/1174156820998065/,0,0,Videos,,,,,Lifetime,264339,286059,16012,14799,92,1121,8548,8535,,13,2429698.909,9.617,1.43,
1175215440632130.00,100044310645639.00,SUGARCANE,"Kita kits tayo sa January 25, sa Salibanda Festival ng Paete Laguna! 

See you there Sugarfolks!!! 🫂✨",,0,1/22/2025 21:54,N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0373z6kBybMKtcVBBnZARUndRzjWaeEpHrYtE9BQKtH4EPngK9cf8t832gYS3Xihfvl,0,0,Photos,,,,,Lifetime,8125,5264,223,196,11,16,270,170,100,,,,,
1174692827351060.00,100044310645639.00,SUGARCANE,#TangingIkaw ang gustong Valentine's Date 🌹💘,#TangingIkaw ang gustong Valentine's Date 🌹💘,47,1/22/2025 3:34,mixed,https://www.facebook.com/reel/550151178013547/,1,0,Reels,,,,,Lifetime,499346,468151,11944,9651,321,1972,0,,,,4538285.272,9.553,0,
1173357917484550.00,100044310645639.00,SUGARCANE,#TangingIkaw OUT on Jan 31! 🫶,#TangingIkaw OUT on Jan 31! 🫶,55,1/20/2025 2:50,N/A,https://www.facebook.com/reel/609231058463885/,1,0,Reels,,,,,Lifetime,12474,9906,876,736,27,113,0,,,,121478.111,10.739,0,
1172677260885950.00,100044310645639.00,SUGARCANE,"sorry guys kausap ko si crush kayo muna magligpit dyan

#TangingIkaw out on Jan 31!","sorry guys kausap ko si crush kayo muna magligpit dyan

#TangingIkaw out on Jan 31!",42,1/19/2025 3:33,uploaded,https://www.facebook.com/reel/1343526520143160/,1,0,Reels,,,,,Lifetime,13683,11723,835,759,24,52,0,,,,112414.991,9.014,0,
1171886710965000.00,100044310645639.00,SUGARCANE,"Back to back gigs today, folks‼️

1️⃣ 𝐒𝐭. 𝐉𝐮𝐝𝐞 𝐂𝐨𝐥𝐥𝐞𝐠𝐞, 𝐃𝐚𝐬𝐦𝐚𝐫𝐢ñ𝐚𝐬
⏰: 4:15PM

2️⃣ 𝐉𝐞𝐬𝐬 & 𝐏𝐚𝐭’𝐬
⏰: Doors open at 6PM
@jessxpats 

We’ll be sharing the stage with @imkenaniah !!

🎟️: Walk-ins are accepted",,0,1/18/2025 0:11,N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0BWVEnMETfa3fkRZ6NMEREV4ArEamdqd1a4svdbQZ179W8oAbEKQX8Eab1J8rcTwzl,0,0,Photos,,,,,Lifetime,10318,6089,344,326,4,14,346,142,201,3,,,,
1171326431021030.00,100044310645639.00,SUGARCANE,"in love arc 🥹 Pre-save link on comsec!

#tangingikaw","in love arc 🥹 Pre-save link on comsec!

#tangingikaw",21,1/17/2025 4:31,uploaded,https://www.facebook.com/reel/1244214766676995/,1,0,Reels,,,,,Lifetime,13624,10296,720,610,35,75,0,,,,96189.302,8.45,0,
1170606157759720.00,100044310645639.00,SUGARCANE,"Kung may kanta ang tamang panahon, ito na siguro yun 💘  #TangingIkaw 

sugarcane.lnk.to/presavetangingikaw","Kung may kanta ang tamang panahon, ito na siguro yun 💘  #TangingIkaw 

sugarcane.lnk.to/presavetangingikaw",47,1/16/2025 3:00,uploaded,https://www.facebook.com/reel/494331710363742/,1,0,Reels,,,,,Lifetime,117977,105868,9374,8501,192,681,0,,,,1721316.981,16.327,0,
1170046077815730.00,100044310645639.00,SUGARCANE,"Congrats Cup of Joe!! Can’t wait for the album drop this Friday ❤️‍🔥 

#COJSilakboTheAlbum",,0,1/15/2025 6:17,N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0WNmnV5gDvmtwLqxQz2Euw7EXp1MB8jJoU5CewBFsquxDuHovHCSLJtxXJm89JWwal,0,1,Photos,,,,,Lifetime,7438,4307,262,254,0,8,458,207,251,,,,,
1169046394582370.00,100044310645639.00,SUGARCANE,"Kita-kita tayo sa 𝐩𝐚𝐡𝐮𝐰𝐚𝐲: 𝐭𝐡𝐞 𝐛𝐞𝐧𝐞𝐟𝐢𝐭 𝐠𝐢𝐠 ✨

📅 January 26, 2025 at 6PM-10PM
📍 Jess & Pat's Maginhawa, QC
🎟️ Regular ticket selling starts on January 15, 7PM 

Get LIMITED early bird tickets here!
https://bit.ly/pahuway-the-benefit-gig
https://bit.ly/pahuway-the-benefit-gig

📝 PS. Portion of the proceeds will go to CRIBS Foundation, Inc. 🤍

Project Mirasol",,0,1/13/2025 19:01,N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02C2xR7fuRFRo8xrgAxGTQxBath1ybcdESjBSpaaVp1F5dDcsCfexH3RP5gobnSc16l,0,0,Photos,,,,,Lifetime,7361,4332,151,137,3,11,371,123,232,16,,,,
1167873611366310.00,100044310645639.00,SUGARCANE,"Happy 100M+ Streams, ""Leonora"" 📜","𝐇𝐚𝐩𝐩𝐲 𝟏𝟎𝟎𝐌+ 𝐒𝐭𝐫𝐞𝐚𝐦𝐬, ""𝐋𝐞𝐨𝐧𝐨𝐫𝐚"" 📜

Congrats sa atin at maraming salamat sa walang sawang pakikinig sa mga kanta namin! Panalo nating lahat 'to, folks! ❤️‍🔥

@[100064878091978:2048:Warner Music Philippines]",33,1/12/2025 2:00,N/A,https://www.facebook.com/thesugarcaneph/videos/1772890253534041/,1,0,Videos,,,,,Lifetime,14836,13569,1342,1119,89,134,518,515,,3,69594.056,5.147,0.03,
1166622868158050.00,100044310645639.00,SUGARCANE,"Tanging Ikaw pa rin ang pipiliin ngayong taon 💘 

PS: Check our IG post for a surprise 👀

Game na ba ang lahat for new song?

Warner Music Philippines",,0,1/10/2025 4:07,N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0WM2SMqbq5A5t8qm8w3NNnoF7n31BKH7umEB1TaACqkj6tsBY7zq2jcM9hmGEXuJRl,0,0,Photos,,,,,Lifetime,31232,10604,1454,1221,84,149,938,854,84,,,,,
1165968444890160.00,100044310645639.00,SUGARCANE,Maskipaps Highlights 🫧,"@[100064870650205:2048:Maskipaps\: The Crossover] Highlights 🫧

📹: Noel, Ivan, & Alyxter of @[100080065946395:2048:ACNM Media]",186,1/9/2025 4:05,mixed,https://www.facebook.com/thesugarcaneph/videos/1763852981063935/,0,0,Videos,,,,,Lifetime,6153,5208,428,377,20,31,278,278,,,39805.952,7.158,0.02,
