"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Negative feedback from users: Hide all","Total clicks","Other Clicks","Matched Audience Targeting Consumption (Photo Click)","Link Clicks","Reach from Organic posts","Reach from Boosted posts","3-second video views","1-minute video views","3-Second viewers","1-minute viewers","3-second video views from Boosted posts","3-second video views from Organic posts","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)"
1063649865122025,100044310645639,SUGARCANE,"Pagbibigyan nang mag workout?!","Pagbibigyan nang mag workout?! 🤸‍♂️Pahirap nang pahirap ang dares ahh, pero okay lang malakas kayo samin e 😮‍💨Stream here: sugarcane.lnk.to/pagbigyan",60,"08/15/2024 03:00",uploaded,https://www.facebook.com/thesugarcaneph/videos/472333492387801/,0,0,Videos,,,,,Lifetime,6376,331,303,14,14,,307,307,,,6376,0,2225,0,2022,0,0,2225,48370.509,8.11,0.04
1063026981850980,100044310645639,SUGARCANE,"Dalawa nga kayo pero feeling mo pa rin mag-isa ka 🥲","Dalawa nga kayo pero feeling mo pa rin mag-isa ka 🥲",33,"08/14/2024 06:00",mixed,https://www.facebook.com/thesugarcaneph/videos/1000366255161140/,0,0,Videos,,,,,Lifetime,52954,2205,1671,33,501,,1092,1088,,4,52954,0,24399,0,23472,0,0,24399,238348.261,5.244,0.2
1062968305190181,100044310645639,SUGARCANE,"8.23.24 | 𝐌𝐚𝐠𝐤𝐚𝐤𝐚𝐚𝐥𝐚𝐦𝐚𝐧 𝐧𝐚! 🔮🪢","𝐌𝐚𝐠𝐤𝐚𝐤𝐚𝐚𝐥𝐚𝐦𝐚𝐧 𝐧𝐚! 🔮🪢

8.23.24

Ilang araw nalang... Handa ka na bang tuklasin ang nilalaman ng puso mo?",11,"08/14/2024 03:00",N/A,https://www.facebook.com/thesugarcaneph/videos/2291140274569112/,1,0,Videos,,,,,Lifetime,2240,356,309,22,25,,166,166,,,2240,0,852,0,665,0,0,852,10804.243,3.96,0
1062835865203425,100044310645639,SUGARCANE,"𝐇𝐚𝐩𝐩𝐲 𝟏𝟎𝟎𝐤+ 𝐒𝐭𝐫𝐞𝐚𝐦𝐬, 𝐏𝐚𝐠𝐛𝐢𝐠𝐲𝐚𝐧! 🪢

Keep streaming here: 
sugarcane.lnk.to/pagbigyan

🖼️: @yenivcrse on IG",,0,"08/13/2024 21:41",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02PP5Ejv2DEEncwf1C4uVhg77BMzf6dstsjQZnLdeMaZLEUzZ72XkwjtZPQ2S8LxqSl,0,0,Photos,,,,,Lifetime,7521,633,574,28,31,,500,415,82,3,7521,0,0,0,0,0,0,0,,,
1062392968581048,100044310645639,SUGARCANE,"Pagbibigyan namin kayo","We heard your comments 🫡 Kaya pagbibigyan namin kayo 🪢

sugarcane.lnk.to/pagbigyan",59,"08/13/2024 04:56",mixed,https://www.facebook.com/thesugarcaneph/videos/1195591608300346/,0,0,Videos,,,,,Lifetime,3418,212,192,8,12,,201,200,,1,3418,0,1062,0,974,0,0,1062,28015.712,8.408,0.02
1062261451927533,100044310645639,SUGARCANE,"Welcome to 🇵🇭, Crash Adams! 

Join us on August 17 at Ayala Malls TriNoma ✨

Ticket redemption is now ongoing 🎟️

#CrashingIntoTriNoma #CrashAdamsLiveinTriNoma #iLoveTriNoma",,0,"08/13/2024 01:00",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0NFYnXY5bdqm9m59RPpHcpV23LBmk82MLprBNn2AzuuAHzjD5DMk5Vof1qtEPcW7Pl,0,0,Photos,,,,,Lifetime,6006,354,303,23,28,,326,265,61,,6006,0,0,0,0,0,0,0,,,
1061723501981328,100044310645639,SUGARCANE,"Live kami bukas sa Yes FM Manila at Easy Rock Manila, kasama syempre ang bff namin na si kween jikamarie! 🤙🏼✨

Ayeee! See you tom!",,0,"08/12/2024 04:12",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0hnPJMowocg8A3whdnqRXA5zjtCiBeN25YrvtmL18J1TMAT5gJceSqP7DsByKMpQwl,0,0,Photos,,,,,Lifetime,4460,412,360,28,24,,333,237,96,,4460,0,0,0,0,0,0,0,,,
1060997212053957,100044310645639,SUGARCANE,"Its not always easy but thats life 🫂","It's not always easy but thats life 🫂

sugarcane.lnk.to/pagbigyan",33,"08/11/2024 00:51",mixed,https://www.facebook.com/thesugarcaneph/videos/910710527763935/,0,0,Videos,,,,,Lifetime,316703,18100,14441,473,3186,,8137,8090,,47,316703,0,141085,0,137254,0,0,141085,1356994.84,4.745,0.85
1059794552174223,100044310645639,SUGARCANE,"Maaaring madalas kang napapatanong sa sarili mo kung 𝒑𝒂𝒈𝒃𝒊𝒃𝒊𝒈𝒚𝒂𝒏 𝒑𝒂 𝒃𝒂 𝒐 𝒉𝒂𝒉𝒂𝒚𝒂𝒂𝒏 𝒏𝒂𝒍𝒂𝒏𝒈? 
...........
 Magkakaalaman na! 👀✨",,0,"08/09/2024 04:00",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid04t5wbAHmGZrFoqPcMHHwZd5Mu2zP6yNpgopQQXUu2qyetSiG8jbboivdcWSiUmpbl,0,0,Photos,,,,,Lifetime,10147,580,490,41,49,,463,391,72,,10147,0,0,0,0,0,0,0,,,
1057992029021142,100044310645639,SUGARCANE,"Happy Cedric Day! ❤️‍🔥 Sending all our love and best wishes to our amazing vocalist on his special day",,0,"08/06/2024 08:18",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid0Wva3j2PXi5ARy8m2nuKr9wfRxj8y3kpELyrN1YCzBhGAh1FguGCwAfw1AwTbbr8Nl,0,0,Photos,,,,,Lifetime,8056,586,488,65,33,,345,307,38,,8056,0,0,0,0,0,0,0,,,
