"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Matched Audience Targeting Consumption (Photo Click)","Other Clicks","Link Clicks","Reach from Organic posts","Reach from Boosted posts","3-second video views","1-minute video views","3-Second viewers","1-minute viewers","3-second video views from Boosted posts","3-second video views from Organic posts","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Negative feedback from users: Hide","Negative feedback from users: Hide all"
972821137538232,100044310645639,SUGARCANE,"Pag nilabas ba namin to bukas, March 22 ng 10PM, papanoorin nyo? 🤭","Pag nilabas ba namin to bukas, March 22 ng 10PM, papanoorin nyo? 🤭

youtu.be/rehKbRxoxTo",18,"03/21/2024 04:00",N/A,https://www.facebook.com/thesugarcaneph/videos/795633369084423/,0,0,Videos,,,,,Lifetime,27638,4387,3720,292,375,2356,,2309,47,27638,0,14898,0,11682,0,0,14898,206717.167,6.429,0.09,,
972299270923752,100044310645639,SUGARCANE,"Join us on our first Jess & Pat's Gig 🤩

For tickets, kindly message Twenty13 Productions ✨",,0,"03/20/2024 04:41",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02iEA7ERATHAf4WkR6ERsLcGrPxiBGDANg8pQQ6X6hm77HDngRLERA46d38KG6teWhl,0,1,Photos,,,,,Lifetime,8351,372,330,37,5,490,70,420,,8351,0,0,0,0,0,0,0,,,,,
972294004257612,100044310645639,SUGARCANE,"POV: ikaw ang pinakamagandang dalaga","POV: Ikaw ang pinakamagandang dalaga 💃🏽

sugarcane.lnk.to/mariaclara",42,"03/20/2024 04:27",N/A,https://www.facebook.com/thesugarcaneph/videos/439504358431033/,0,0,Videos,,,,,Lifetime,10970,1024,916,42,66,511,,510,1,10970,0,3995,0,3821,0,0,3995,57171.33,6.192,0.03,,
971254634361549,100044310645639,SUGARCANE,"Maraming salamat, Infant Jesus Academy! Hanggang sa muli! 💙

©️ Infant Jesus Academy - Marikina","Maraming salamat, @[100064546727752:2048:Infant Jesus Academy]! Hanggang sa muli! 💙

©️ Infant Jesus Academy - Marikina",106,"03/18/2024 06:01",auto,https://www.facebook.com/thesugarcaneph/videos/1860433644377146/,0,0,Videos,,,,,Lifetime,13032,1862,1756,42,64,1107,,1107,,13032,0,6705,523,5818,460,0,6705,136602.108,10.47,0.04,,
970637234423289,100044310645639,SUGARCANE,"MARIA CLARA CHOREO 💃🏽","MARIA CLARA CHOREO 💃🏽
WHAT IF I-REMAKE NYO NA? ✨

sugarcane.lnk.to/mariaclara",41,"03/17/2024 02:54",N/A,https://www.facebook.com/thesugarcaneph/videos/757285756378702/,0,0,Videos,,,,,Lifetime,14442,1295,1141,97,57,1080,,1075,5,14442,0,5599,0,4837,0,0,5599,122417.399,9.023,0.1,,
970077431145936,100044310645639,SUGARCANE,"Breaking down the production of ""Maria Clara"" 💃🏽

sugarcane.lnk.to/mariaclara","Breaking down the production of ""Maria Clara"" 💃🏽

sugarcane.lnk.to/mariaclara",87,"03/16/2024 02:55",N/A,https://www.facebook.com/thesugarcaneph/videos/1108058757065150/,0,0,Videos,,,,,Lifetime,8376,711,666,15,30,331,,329,2,8376,0,2647,630,2511,601,0,2647,79650.416,11.107,0.05,,1
969986311155048,100044310645639,SUGARCANE,"Thank you, Klasik! 💃🏽

Stream here: sugarcane.lnk.to/mariaclara",,0,"03/15/2024 22:43",N/A,https://www.facebook.com/thesugarcaneph/posts/pfbid02pZDHQMBsguPJdYG9qXwpMmoUdNkpQfYGvfZHBuovvMfpBLQ12uriJLeqtynEiW3ql,0,1,Photos,,,,,Lifetime,12890,967,888,4,75,941,430,505,6,12890,0,0,0,0,0,0,0,,,,,
969517834535229,100044310645639,SUGARCANE,"Grabe ka talaga, idol!

sugarcane.lnk.to/mariaclara","Grabe ka talaga, idol!

sugarcane.lnk.to/mariaclara",59,"03/15/2024 03:12",N/A,https://www.facebook.com/thesugarcaneph/videos/1478367379411034/,0,0,Videos,,,,,Lifetime,37231,2092,1902,28,162,1989,,1977,12,37231,0,14378,0,13754,0,0,14378,368507.29,11.407,0.19,,
968902761263403,100044310645639,SUGARCANE,"Thank you, Tiktok!","Huyyyy 🥹 Thank you, Tiktok!

sugarcane.lnk.to/mariaclara",25,"03/14/2024 03:02",N/A,https://www.facebook.com/thesugarcaneph/videos/448409520855355/,0,0,Videos,,,,,Lifetime,33418,2584,2400,98,86,1485,,1469,16,33418,0,14623,0,13714,0,0,14623,234462.914,8.074,0.17,,
968405684646444,100044310645639,SUGARCANE,"Know more about the journey that led to the creation of ""Maria Clara"" 💃🏽

sugarcane.lnk.to/mariaclara","Know more about the journey that led to the creation of ""Maria Clara"" 💃🏽

sugarcane.lnk.to/mariaclara",261,"03/13/2024 02:55",auto,https://www.facebook.com/thesugarcaneph/videos/437796945351994/,0,0,Videos,,,,,Lifetime,9735,1232,1146,34,52,518,,514,4,9735,0,4124,488,3589,481,0,4124,140169.654,16.323,0.03,,
