duration_bucket,video_count,avg_views,avg_likes,avg_engagement
0-15s,51,54379.05882352941,3951.4117647058824,4435.137254901961
16-30s,105,139284.52380952382,17164.704761904763,19721.657142857144
31-60s,159,109468.56603773584,12228.100628930819,14839.264150943396
61-120s,61,291763.34426229505,34405.65573770492,39220.16393442623
120s+,13,529914.9230769231,31443.076923076922,35456.230769230766
