post_type,video_count,avg_views,avg_likes,avg_shares,avg_comments,total_views
video,374,158130.83422459892,17194.83155080214,983.9973262032086,123.81818181818181,59140932.0
photo,17,32878.529411764706,3223.6470588235293,195.64705882352942,49.76470588235294,558935.0
