video_id,url,title,publish_time,publish_year,publish_month,publish_day,duration,dur_hours,dur_minutes,dur_seconds,duration_sec,likes,shares,comments_added,views,saves,sound_used,post_type
tkvid_358,https:::www.tiktok.com:@thesugarcaneph:video:7424134407834864904?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,We’ll be live tomorrow on @NestlePH's TikTok account at 3:30PM. See you all there!,2024-10-10 00:00:00+00:00,2024,10,10,0:21,0,0,21,21.0,50,4,1,1214,4,Original,video
tkvid_357,https:::www.tiktok.com:@thesugarcaneph:video:7423442829394955538?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,napakinggan mo na ba??,2024-10-09 00:00:00+00:00,2024,10,9,0:00:38,0,0,38,38.0,805,24,34,5292,46,Pagbigyan,video
tkvid_356,https:::www.tiktok.com:@thesugarcaneph:video:7421747829523090706?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"Live performance of ""Pagbigyan"" on Wish Bus",2024-10-04 00:00:00+00:00,2024,10,4,0:01:05,0,1,5,65.0,528,9,11,4708,23,Original,video
tkvid_355,https:::www.tiktok.com:@thesugarcaneph:video:7412583796249283848?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"Need rant buddy? Kwento niyo lang sa comment section ang mga""sana pinili ko nalang sarili ko"" moments nyo tapos pag-usapan natin yan",2024-09-09 00:00:00+00:00,2024,9,9,0:00:38,0,0,38,38.0,442,17,46,5198,23,Original,video
tkvid_354,https:::www.tiktok.com:@thesugarcaneph:video:7412496675140308242?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,TATALIKURAN,2024-09-09 00:00:00+00:00,2024,9,9,0:00:28,0,0,28,28.0,610,27,19,7822,47,Pagbigyan,video
tkvid_353,https:::www.tiktok.com:@thesugarcaneph:video:7410733643963944210?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Online muna habang maulan... next time sa tapat naman ng bahay nyo,2024-09-04 00:00:00+00:00,2024,9,4,0:00:59,0,0,59,59.0,236,4,17,3859,11,Pagbigyan,video
tkvid_352,https:::www.tiktok.com:@thesugarcaneph:video:7408130090673999122?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,PAGBIG-GIAN??!!,2024-08-28 00:00:00+00:00,2024,8,28,0:00:42,0,0,42,42.0,388,25,14,6087,36,Pagbigyan,video
tkvid_351,https:::www.tiktok.com:@thesugarcaneph:video:7407375726422396167?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Hindi mo na maaayos to,2024-08-26 00:00:00+00:00,2024,8,26,0:00:32,0,0,32,32.0,842,137,20,8317,37,Pagbigyan,video
tkvid_350,https:::www.tiktok.com:@thesugarcaneph:video:7405528116921224466?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Sige lang,2024-08-21 00:00:00+00:00,2024,8,21,0:00:32,0,0,32,32.0,19700,6464,312,127300,1206,Pagbigyan,video
tkvid_349,https:::www.tiktok.com:@thesugarcaneph:video:7404790096152497416?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,𝐑𝐞𝐝 𝐘𝐚𝐫𝐧 𝐘𝐚𝐫𝐧?  Pa-lupet nang pa-lupet dares nyo ha?! Buti nalang wala kaming inaatrasan,2024-08-19 00:00:00+00:00,2024,8,19,0:00:59,0,0,59,59.0,300,1,13,3610,12,Pagbigyan,video
tkvid_348,https:::www.tiktok.com:@thesugarcaneph:video:7403681331185503508?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,𝐈𝐭 𝐦𝐢𝐠𝐡𝐭 𝐛𝐞 𝐭𝐢𝐦𝐞 𝐭𝐨 𝐭𝐞𝐥𝐥 𝐲𝐨𝐮𝐫 𝐥𝐨𝐯𝐞𝐝 𝐨𝐧𝐞𝐬 𝐡𝐨𝐰 𝐦𝐮𝐜𝐡 𝐭𝐡𝐞𝐲 𝐦𝐞𝐚𝐧 𝐭𝐨 𝐲𝐨𝐮..,2024-08-16 00:00:00+00:00,2024,8,16,0:00:59,0,0,59,59.0,253,2,9,3291,9,Original,video
tkvid_347,https:::www.tiktok.com:@thesugarcaneph:video:7403309317115383047?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"Pagbibigyan nang mag workout?!  Pahirap nang pahirap ang dares ahh, pero okay lang malakas kayo samin e",2024-08-15 00:00:00+00:00,2024,8,15,0:00:59,0,0,59,59.0,310,9,9,3198,15,Pagbigyan,video
tkvid_346,https:::www.tiktok.com:@thesugarcaneph:video:7402590983956761863?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,We heard your comments Kaya pagbibigyan namin kayo,2024-08-13 00:00:00+00:00,2024,8,13,0:00:58,0,0,58,58.0,230,4,17,2815,14,Pagbigyan,video
tkvid_345,https:::www.tiktok.com:@thesugarcaneph:video:7401781775942339848?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Minsan kasi dalawa nga kayo pero feeling mo pa rin mag-isa ka :(,2024-08-11 00:00:00+00:00,2024,8,11,0:00:32,0,0,32,32.0,342,4,15,3007,21,Pagbigyan,video
tkvid_344,https:::www.tiktok.com:@thesugarcaneph:video:7401414597623680263?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,It's not always easy but that's life,2024-08-10 00:00:00+00:00,2024,8,10,0:00:32,0,0,32,32.0,6065,251,87,33000,353,Pagbigyan,video
tkvid_343,https:::www.tiktok.com:@thesugarcaneph:video:7401088523094232338?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Tag your BFFs,2024-08-09 00:00:00+00:00,2024,8,9,0:00:32,0,0,32,32.0,326,14,15,3253,26,Pagbigyan,video
tkvid_342,https:::www.tiktok.com:@thesugarcaneph:video:7399617126861917458?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Talikuran na natin ang nakaraan,2024-08-05 00:00:00+00:00,2024,8,5,0:00:29,0,0,29,29.0,590,108,17,6702,36,Pagbigyan,video
tkvid_341,https:::www.tiktok.com:@thesugarcaneph:video:7398118021094444296?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,hope this song brings you comfort no matter what you’re going through,2024-08-01 00:00:00+00:00,2024,8,1,0:00:32,0,0,32,32.0,4904,256,82,35600,319,Pagbigyan,video
tkvid_340,https:::www.tiktok.com:@thesugarcaneph:video:7397739298080017672?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"Pasasalamatan ka ng future self mo, kapag pinagbigyan mo na sarili mong lumigaya",2024-07-31 00:00:00+00:00,2024,7,31,0:01:19,0,1,19,79.0,166,24,13,2101,9,Pagbigyan,video
tkvid_339,https:::www.tiktok.com:@thesugarcaneph:video:7397366109764160776?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"Welcome to the new era, folks! Stream link in bio",2024-07-30 00:00:00+00:00,2024,7,30,0:01:01,0,1,1,61.0,446,20,31,4370,28,Pagbigyan,video
tkvid_338,https:::www.tiktok.com:@thesugarcaneph:video:7396625671033802002?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Kanta tungkol sa pagmamahal na uunahin ang sarili,2024-07-28 00:00:00+00:00,2024,7,28,0:01:14,0,1,14,74.0,6243,317,154,34800,425,Original,video
tkvid_337,https:::www.tiktok.com:@thesugarcaneph:video:7396275726959398152?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"Pagbigyan (Music Video), now available on Youtube",2024-07-27 00:00:00+00:00,2024,7,27,0:00:36,0,0,36,36.0,312,6,13,2888,23,Pagbigyan,video
tkvid_336,https:::www.tiktok.com:@thesugarcaneph:video:7395888726125088008?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"Pagbigyan ft. Carl, Carlo, and Carlito",2024-07-26 00:00:00+00:00,2024,7,26,0:00:34,0,0,34,34.0,6379,183,55,24000,183,Pagbigyan,video
tkvid_335,https:::www.tiktok.com:@thesugarcaneph:photo:7395608539957316882?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"""Pagbigyan"" out now!",2024-07-26 00:00:00+00:00,2024,7,26,0:00:00,0,0,0,0.0,493,6,18,4446,23,Pagbigyan,photo
tkvid_334,https:::www.tiktok.com:@thesugarcaneph:video:7393303134669507847?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,07:26:24 Pre-save link in bio! sugarcane.lnk.to:presavepagbigyan,2024-07-19 00:00:00+00:00,2024,7,19,0:00:39,0,0,39,39.0,453,11,21,3909,25,Original,video
tkvid_333,https:::www.tiktok.com:@thesugarcaneph:video:7388825117033254165?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,feelslikeimfallinginlove - coldplay (cover),2024-07-07 00:00:00+00:00,2024,7,7,0:00:49,0,0,49,49.0,444,11,17,4899,21,Original,video
tkvid_332,https:::www.tiktok.com:@thesugarcaneph:video:7375837188916907269?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Natutulog eh! Stream Aking Maria Clara,2024-06-02 00:00:00+00:00,2024,6,2,0:00:51,0,0,51,51.0,604,10,19,9105,26,Aking Maria Clara (feat.jikamarie),video
tkvid_331,https:::www.tiktok.com:@thesugarcaneph:video:7374379604959563013?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,bagong song para sa lahat ng naggagandahang kababaihan,2024-05-29 00:00:00+00:00,2024,5,29,0:00:54,0,0,54,54.0,842,11,31,8538,58,Aking Maria Clara (feat.jikamarie),video
tkvid_330,https:::www.tiktok.com:@thesugarcaneph:video:7373628691743558918?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,ah basta... ikaw lamang ang hiling na makasama  with @JIKA⭒,2024-05-27 00:00:00+00:00,2024,5,27,0:00:58,0,0,58,58.0,550,11,8,6045,37,Aking Maria Clara (feat.jikamarie),video
tkvid_329,https:::www.tiktok.com:@thesugarcaneph:video:7372977101932186896?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"How we came up with the collaboration with @jikamariefor ""Aking Maria Clara"". Stream link on bio!",2024-05-26 00:00:00+00:00,2024,5,26,0:02:08,0,2,8,128.0,1520,15,20,15500,52,Original,video
tkvid_328,https:::www.tiktok.com:@thesugarcaneph:video:7372898827474308357?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Pang thirst trap na maLOFIt Aking Maria Clara ft. @JIKA⭒,2024-05-25 00:00:00+00:00,2024,5,25,0:01:24,0,1,24,84.0,875,23,32,23100,41,Aking Maria Clara (feat.jikamarie),video
tkvid_327,https:::www.tiktok.com:@thesugarcaneph:video:7372781329588440325?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"""Aking Maria Clara"" ft. Jikamarie is out now on Spotify!",2024-05-25 00:00:00+00:00,2024,5,25,0:00:19,0,0,19,19.0,799,9,15,9152,53,Aking Maria Clara (feat.jikamarie),video
tkvid_326,https:::www.tiktok.com:@thesugarcaneph:video:7372476288315002117?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Bigyan ng bagong kanta yan!,2024-05-24 00:00:00+00:00,2024,5,24,0:00:26,0,0,26,26.0,724,7,20,7020,33,Aking Maria Clara (feat.jikamarie),video
tkvid_325,https:::www.tiktok.com:@thesugarcaneph:photo:7372231275144350982?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"Aking Maria Clara ft. Jikamarie, OUT NOW! Aking Maria Clara ft. @JIKA * A heartfelt track that talks about the bliss of having your loved one beside you, Through poetic lyrics and a blend of lo-fi and R&B sounds, the song offers a fresh perspective on admiration and appreciation. With its intimate melodies and soulful vibe, it captivates listerners, leaving a lasting impression of love and affection.",2024-05-24 00:00:00+00:00,2024,5,24,0:00:00,0,0,0,0.0,847,8,31,7161,45,Maria Clara,photo
tkvid_324,https:::www.tiktok.com:@thesugarcaneph:video:7369926838409317638?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Tabi! Kakanta si @JIKA⭒,2024-05-17 00:00:00+00:00,2024,5,17,0:00:43,0,0,43,43.0,607,10,20,6841,24,Original,video
tkvid_323,https:::www.tiktok.com:@thesugarcaneph:video:7360645000281017606?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Damhin mo ang pag-ibig kong sa'yo,2024-04-22 00:00:00+00:00,2024,4,22,0:00:48,0,0,48,48.0,1293,32,56,17800,101,Maria Clara,video
tkvid_322,https:::www.tiktok.com:@thesugarcaneph:video:7358075307368189190?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Sarap siguro makantahan ng kanta na to bago matulog,2024-04-15 00:00:00+00:00,2024,4,15,0:00:41,0,0,41,41.0,549,8,23,7689,47,Original,video
tkvid_321,https:::www.tiktok.com:@thesugarcaneph:video:7357317519524318469?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Maria Clara Music Video BTS Full video on our Youtube channel,2024-04-13 00:00:00+00:00,2024,4,13,0:00:56,0,0,56,56.0,592,3,16,7711,47,Maria Clara,video
tkvid_320,https:::www.tiktok.com:@thesugarcaneph:video:7356947740322008326?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Ikaw lamang ang hiling makasama,2024-04-12 00:00:00+00:00,2024,4,12,0:00:40,0,0,40,40.0,2005,32,30,186000,159,Maria Clara,video
tkvid_319,https:::www.tiktok.com:@thesugarcaneph:video:7356564701251161350?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,,2024-04-11 00:00:00+00:00,2024,4,11,0:00:59,0,0,59,59.0,356,3,14,4945,23,Maria Clara,video
tkvid_318,https:::www.tiktok.com:@thesugarcaneph:video:7355821679936851205?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,in game nanaman sila,2024-04-09 00:00:00+00:00,2024,4,9,0:00:52,0,0,52,52.0,1218,18,33,9383,88,Maria Clara,video
tkvid_317,https:::www.tiktok.com:@thesugarcaneph:video:7355449813413956870?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Maria Clara (Lead Guitar Playthrough),2024-04-08 00:00:00+00:00,2024,4,8,0:00:57,0,0,57,57.0,627,8,11,8528,60,Maria Clara,video
tkvid_316,https:::www.tiktok.com:@thesugarcaneph:video:7355102761303903494?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Maria Clara (Bass Playthrough),2024-04-07 00:00:00+00:00,2024,4,7,0:00:58,0,0,58,58.0,455,9,25,6908,37,Maria Clara,video
tkvid_315,https:::www.tiktok.com:@thesugarcaneph:video:7354714195042045190?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Maria Clara (Flute Playthrough) Full video on Youtube,2024-04-06 00:00:00+00:00,2024,4,6,0:00:51,0,0,51,51.0,392,3,9,8465,48,Maria Clara,video
tkvid_314,https:::www.tiktok.com:@thesugarcaneph:video:7354336881737223430?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"Ito na ang chords ng ""Maria Clara""",2024-04-05 00:00:00+00:00,2024,4,5,0:00:29,0,0,29,29.0,742,19,20,13600,118,Maria Clara,video
tkvid_313,https:::www.tiktok.com:@thesugarcaneph:video:7353311364351397125?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Nagulat kayo noh,2024-04-03 00:00:00+00:00,2024,4,3,0:00:35,0,0,35,35.0,716,7,19,8149,43,Maria Clara,video
tkvid_312,https:::www.tiktok.com:@thesugarcaneph:video:7352873752549510405?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"""MARIA CLARA"" OUT NOW ON SPOTIFY!",2024-04-01 00:00:00+00:00,2024,4,1,0:01:45,0,1,45,105.0,3098,66,71,71800,205,Maria Clara,video
tkvid_311,https:::www.tiktok.com:@thesugarcaneph:video:7351364194773601542?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,MARIA CLARA LIVE ON WISH 107.5 | PART 2,2024-03-28 00:00:00+00:00,2024,3,28,0:00:57,0,0,57,57.0,462,13,14,6831,41,Maria Clara,video
tkvid_309,https:::www.tiktok.com:@thesugarcaneph:video:7350914336572853510?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,MARIA CLARA OUT NOW ON SPOTIFY,2024-03-27 00:00:00+00:00,2024,3,27,0:00:38,0,0,38,38.0,234,8,9,4301,22,Maria Clara,video
tkvid_310,https:::www.tiktok.com:@thesugarcaneph:video:7350994175862508806?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"Ang dating tamis ng pagsasama, nahanap na",2024-03-27 00:00:00+00:00,2024,3,27,0:01:13,0,1,13,73.0,30700,493,77,210100,3123,Maria Clara,video
tkvid_308,https:::www.tiktok.com:@thesugarcaneph:video:7350626972923481349?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,MARIA CLARA LIVE ON WISH 107.5,2024-03-26 00:00:00+00:00,2024,3,26,0:01:19,0,1,19,79.0,29100,344,69,170800,1133,Maria Clara,video
tkvid_307,https:::www.tiktok.com:@thesugarcaneph:video:7350255878295047430?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,kaya nyo ba 'to?,2024-03-25 00:00:00+00:00,2024,3,25,0:00:47,0,0,47,47.0,1708,29,39,16100,111,Maria Clara,video
tkvid_306,https:::www.tiktok.com:@thesugarcaneph:video:7349888982781660422?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Pano kung may chance pa pala?,2024-03-24 00:00:00+00:00,2024,3,24,0:00:51,0,0,51,51.0,27800,271,118,283000,2874,Maria Clara,video
tkvid_305,https:::www.tiktok.com:@thesugarcaneph:video:7349535179918101766?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Forever na raw kayo pag ni-remake niyo 'to,2024-03-23 00:00:00+00:00,2024,3,23,0:00:14,0,0,14,14.0,1937,41,65,68400,115,Maria Clara,video
tkvid_304,https:::www.tiktok.com:@thesugarcaneph:video:7349191441458957573?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"“𝐌𝐀𝐑𝐈𝐀 𝐂𝐋𝐀𝐑𝐀” 𝐌𝐔𝐒𝐈𝐂 𝐕𝐈𝐃𝐄𝐎, 𝐎𝐔𝐓 𝐍𝐎𝐖 𝐎𝐍 𝐘𝐎𝐔𝐓𝐔𝐁𝐄!  Napanood niyo na bang lahat? Comment down below kung anong favorite part mo sa MV!",2024-03-22 00:00:00+00:00,2024,3,22,0:00:14,0,0,14,14.0,1607,30,20,73400,101,Maria Clara,video
tkvid_303,https:::www.tiktok.com:@thesugarcaneph:video:7348783319334636805?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"Pag nilabas ba namin to bukas, March 22 ng 10PM, papanoorin nyo?",2024-03-21 00:00:00+00:00,2024,3,21,0:00:17,0,0,17,17.0,1548,37,54,72600,95,Maria Clara,video
tkvid_302,https:::www.tiktok.com:@thesugarcaneph:video:7348029789569158406?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,POV: ikaw ang pinakamagandang dalaga,2024-03-19 00:00:00+00:00,2024,3,19,0:00:42,0,0,42,42.0,1365,8,29,69300,87,Maria Clara,video
tkvid_301,https:::www.tiktok.com:@thesugarcaneph:video:7347674745082629382?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,STREAM “MARIA CLARA” ON SPOTIFY,2024-03-18 00:00:00+00:00,2024,3,18,0:00:41,0,0,41,41.0,4359,69,44,135300,298,Maria Clara,video
tkvid_300,https:::www.tiktok.com:@thesugarcaneph:video:7347293968754838790?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,stream niyo na yan sha sa Spotify,2024-03-17 00:00:00+00:00,2024,3,17,0:00:15,0,0,15,15.0,1714,18,18,75000,93,Original,video
tkvid_299,https:::www.tiktok.com:@thesugarcaneph:video:7346912467013864709?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,MARIA CLARA CHOREO  WHAT IF I-REMAKE NYO NA?,2024-03-16 00:00:00+00:00,2024,3,16,0:00:40,0,0,40,40.0,1878,28,88,15800,150,Maria Clara,video
tkvid_298,https:::www.tiktok.com:@thesugarcaneph:video:7346544174570687749?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"Breaking down the production of ""Maria Clara""",2024-03-15 00:00:00+00:00,2024,3,15,0:01:26,0,1,26,86.0,612,9,23,9397,51,Maria Clara,video
tkvid_297,https:::www.tiktok.com:@thesugarcaneph:video:7346188463403797766?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"Grabe ka talaga, idol!",2024-03-14 00:00:00+00:00,2024,3,14,0:00:58,0,0,58,58.0,1621,32,59,13100,141,Maria Clara,video
tkvid_296,https:::www.tiktok.com:@thesugarcaneph:video:7345809981125528838?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"Maraming salamat, Tiktok!",2024-03-13 00:00:00+00:00,2024,3,13,0:00:24,0,0,24,24.0,2316,30,62,83100,132,Maria Clara,video
tkvid_295,https:::www.tiktok.com:@thesugarcaneph:video:7345430751581621509?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,"Know more about the journey that led to the creation of ""Maria Clara.""",2024-03-12 00:00:00+00:00,2024,3,12,0:04:20,0,4,20,260.0,3043,27,48,87200,181,Maria Clara,video
tkvid_294,https:::www.tiktok.com:@thesugarcaneph:video:7345061355507944710?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559,Sent to many eme,2024-03-11 00:00:00+00:00,2024,3,11,0:00:47,0,0,47,47.0,5927,219,86,91500,523,Maria Clara,video
