day_of_week,day_name,video_count,avg_views,avg_likes,avg_engagement
0.0,Sunday,54,80933.03703703704,10365.666666666668,11960.833333333332
1.0,Monday,58,232433.37931034484,30606.51724137931,34980.34482758621
2.0,Tuesday,46,227873.84782608695,21917.326086956524,26229.652173913044
3.0,Wednesday,57,92070.91228070176,12385.982456140351,14181.526315789473
4.0,Thursday,44,162312.52272727274,21649.068181818184,26713.590909090908
5.0,Friday,72,147654.125,10917.166666666668,12233.152777777777
6.0,Saturday,60,139087.66666666666,11632.533333333333,13295.833333333332
