views,likes,shares,comments_added,saves,like_rate,share_rate,comment_rate,engagement_rate
1905,72,0,7,4,3.779527559055118,0.0,0.3674540682414698,4.3569553805774275
7145,305,14,19,14,4.268719384184744,0.1959412176347096,0.26592022393282017,4.926522043386984
2952,109,10,7,5,3.692411924119241,0.33875338753387535,0.23712737127371272,4.4376693766937665
6084,195,14,18,15,3.205128205128205,0.23011176857330704,0.2958579881656805,3.9776462853385928
5221,160,11,6,13,3.0645470216433632,0.21068760773798123,0.11492051331162612,3.6391495882014944
3084,117,6,8,7,3.7937743190661477,0.19455252918287938,0.25940337224383914,4.474708171206226
2490,76,1,0,7,3.0522088353413657,0.040160642570281124,0.0,3.3734939759036147
8244,225,16,18,13,2.7292576419213974,0.19408054342552158,0.21834061135371177,3.2993692382338673
5530,309,18,23,9,5.587703435804701,0.325497287522604,0.4159132007233273,6.491862567811935
4060,249,20,19,10,6.1330049261083746,0.49261083743842365,0.4679802955665025,7.3399014778325125
6177,326,27,19,47,5.277642868706492,0.4371053909664886,0.30759268253197347,6.78322810425773
5075,213,21,7,23,4.197044334975369,0.41379310344827586,0.13793103448275862,5.201970443349754
6033,246,45,21,25,4.077573346593734,0.7458975634012929,0.34808552958727,5.585943974805238
4375,154,17,10,10,3.52,0.38857142857142857,0.2285714285714286,4.365714285714286
5699,179,35,11,18,3.1409019126162487,0.6141428320758028,0.19301631865239516,4.2639059484120025
4598,171,26,4,12,3.71900826446281,0.5654632448890822,0.08699434536755112,4.632448890822097
7888,266,30,9,23,3.372210953346856,0.3803245436105477,0.1140973630831643,4.158215010141988
4425,229,23,11,17,5.175141242937853,0.519774011299435,0.24858757062146894,6.3276836158192085
16000,500,34,26,62,3.125,0.21250000000000002,0.1625,3.8875
8074,288,17,20,14,3.5670052018825857,0.21055239038890264,0.24770869457517958,4.198662373049293
50400,1003,41,13,80,1.9900793650793651,0.08134920634920635,0.025793650793650796,2.255952380952381
10500,193,9,6,15,1.838095238095238,0.08571428571428572,0.05714285714285715,2.123809523809524
3053,75,1,1,8,2.456600065509335,0.03275466754012447,0.03275466754012447,2.78414674091058
4854,332,8,28,15,6.839719818706222,0.16481252575195715,0.57684384013185,7.890399670374948
3250,141,2,9,8,4.338461538461538,0.06153846153846154,0.2769230769230769,4.923076923076923
4712,240,9,8,8,5.093378607809847,0.19100169779286927,0.1697792869269949,5.6239388794567065
5579,225,15,9,18,4.032980820935651,0.26886538806237675,0.16131923283742605,4.7858039075103065
6775,174,7,6,12,2.568265682656827,0.1033210332103321,0.0885608856088561,2.937269372693727
16000,381,12,17,38,2.38125,0.075,0.10625000000000001,2.8000000000000003
10100,373,23,9,20,3.693069306930693,0.2277227722772277,0.08910891089108912,4.207920792079208
9718,146,5,4,13,1.5023667421280098,0.05145091582630171,0.041160732661041366,1.7287507717637374
12800,372,18,10,40,2.90625,0.140625,0.078125,3.4375000000000004
62100,8647,262,141,354,13.924315619967794,0.42190016103059585,0.22705314009661837,15.14331723027375
729200,63000,727,347,7337,8.639605046626441,0.09969829950630829,0.047586396050466266,9.79306088864509
12100,747,9,20,12,6.1735537190082646,0.0743801652892562,0.1652892561983471,6.5123966942148765
7675,434,9,48,12,5.6547231270358305,0.11726384364820848,0.6254071661237784,6.5537459283387625
4597,130,1,1,4,2.8279312595170762,0.021753317380900587,0.021753317380900587,2.95845116380248
9536,230,1,10,14,2.4119127516778525,0.010486577181208054,0.10486577181208054,2.674077181208054
9715,579,36,75,27,5.959855892949048,0.3705609881626351,0.7720020586721564,7.380339680905816
46200,4141,94,53,369,8.963203463203463,0.20346320346320348,0.11471861471861473,10.080086580086581
19500,1465,55,57,89,7.512820512820513,0.28205128205128205,0.2923076923076923,8.543589743589743
14500,727,27,35,47,5.013793103448276,0.18620689655172415,0.2413793103448276,5.76551724137931
271500,46100,366,135,4145,16.97974217311234,0.13480662983425415,0.04972375690607735,18.69097605893186
26600,2479,67,16,192,9.319548872180452,0.2518796992481203,0.06015037593984962,10.353383458646617
45100,4917,48,34,389,10.902439024390244,0.10643015521064302,0.07538802660753881,11.946784922394677
38300,3012,401,14,224,7.864229765013055,1.0469973890339426,0.03655352480417754,9.532637075718016
11800,344,10,15,22,2.9152542372881354,0.0847457627118644,0.1271186440677966,3.313559322033898
221400,1100,335,50,1218,0.49683830171635046,0.15130984643179765,0.022583559168925023,1.2208672086720866
264900,23100,340,228,8930,8.720271800679502,0.12835032087580217,0.08607021517553794,12.305775764439412
8500000,1200000,17000,6721,156900,14.117647058823529,0.2,0.07907058823529411,16.2426
87700,17000,581,268,1607,19.384264538198405,0.6624857468643102,0.3055872291904219,22.18472063854048
324500,40600,615,149,2028,12.511556240369801,0.18952234206471494,0.04591679506933744,13.371956856702619
189200,13500,458,88,1131,7.135306553911206,0.24207188160676532,0.046511627906976744,8.021670190274842
244200,50400,1008,266,6716,20.638820638820636,0.4127764127764128,0.10892710892710891,23.91072891072891
1400000,218100,14200,1473,16700,15.578571428571427,1.0142857142857142,0.10521428571428572,17.89092857142857
142000,6083,83,60,213,4.283802816901408,0.05845070422535212,0.04225352112676056,4.534507042253521
119500,18500,296,157,1360,15.481171548117153,0.24769874476987447,0.13138075313807532,16.998326359832635
41600,4047,40,36,205,9.728365384615385,0.09615384615384616,0.08653846153846154,10.403846153846153
42200,6034,155,90,408,14.298578199052134,0.36729857819905215,0.21327014218009477,15.845971563981042
20700,1299,11,64,54,6.27536231884058,0.05314009661835749,0.30917874396135264,6.898550724637681
