video_id,title,views,likes,shares,comments_added,saves,total_engagement,publish_time,url
tkvid_462,"Happy Valentine's Day, Classmate",643900,75300,23200,875,7606,106981,2025-02-13 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7470838232968596743?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_198,Mahal parin kita challenge - SUGARCANE edition,1400000,89400,2524,984,11700,104608,2023-05-09 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7231072755456724230?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_439,#TangingIkaw OUT NOW ON SPOTIFY!,529900,80200,2281,355,8002,90838,2025-01-31 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7466012965104373000?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_435,#TangingIkaw OUT NOW ON SPOTIFY!,610500,72700,5365,301,7910,86276,2025-01-29 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7465288304527789330?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_444,#kungmagingakinka @crush,875300,69900,7284,355,8552,86091,2025-02-03 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7467176983173057799?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_166,"Pakinggan nyo rin ""Leonora"" maganda to promise",1700000,70500,620,520,5356,76996,2023-04-18 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7223233313534692634?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_169,Tamang games lang sa gedli,413500,68800,808,591,4700,74899,2023-04-19 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7223683711982636315?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_471,#TangingIkaw ang pakakasalan,377900,61400,7332,236,5643,74611,2025-02-19 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7473085403046612231?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_236,"BTS kung paano nagawa ang ""Sinehan""",3300000,68200,833,467,2353,71853,2023-09-22 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7281615227022593286?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_134,Pasilyo by @SunKissed Lola,729200,63000,727,347,7337,71411,2023-02-18 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7201398127419510043?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_181,Otw na kami para hanapin ang dating tamis ng pagsasama,285000,62200,657,358,4463,67678,2023-04-26 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7226294314027011333?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_486,try lang new feature HAHHAHA #goodmorning #fyp #leonora #tiktokmusikat #layout,339700,56000,4729,217,3462,64408,2025-08-14 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7538210793121238280?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_193,idol niyo pagod na,280900,58500,1695,579,2920,63694,2023-05-04 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7229259894484995334?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_431,#TangingIkaw ang gusto kong Valentine's date,549800,46500,8960,364,6870,62694,2025-01-22 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7462685086660431122?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_167,akala nyo ibang content na no?? hindi!!! leonora pa rin yan!,298700,57800,423,530,3574,62327,2023-04-18 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7223337246445866245?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_427,Perfect first kiss song??  Pre-save link on bio!,340900,52900,2473,304,6355,62032,2025-01-16 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7460439468311383303?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_154,Out now on all music platforms!,244200,50400,1008,266,6716,58390,2023-04-13 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7221348643939437829?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_188,Ito na finally,507800,50200,745,326,6447,57718,2023-04-30 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7227810762046196997?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_223,Leonora (Live at The Cozy Cove) Watch the full video at Nine Degrees North’s Youtube channel: https:::youtu.be:bgGNtj2ubcM,392300,50700,1893,309,4601,57503,2023-06-22 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7247461114525617413?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_433,#TangingIkaw Out on Jan 31,545300,41800,1860,308,8709,52677,2025-01-25 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7463785308937538823?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_143,What if i-release na namin ‘to?,271500,46100,366,135,4145,50746,2023-03-28 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7215595322121145605?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_251,Who’s the imposter?,414300,44800,397,121,2935,48253,2023-10-09 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7287898221001690374?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_161,Heaviest part of the song  Stream “Leonora” by us!,267300,39200,616,257,4821,44894,2023-04-15 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7222248949602700550?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_436,#TangingIkaw OUT NOW ON SPOTIFY!,346200,36000,2643,275,5119,44037,2025-01-30 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7465640909950946568?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_152,“Leonora” is out now on Youtube and Spotify  Stream now!,324500,40600,615,149,2028,43392,2023-04-11 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7220738721329483034?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_200,Relate ka ba? Share mo naman sa comment section yan!,248800,37300,1261,358,3108,42027,2023-05-11 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7231803460436512005?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_199,"Timelapse of the creation of “Paalam, Leonora”’s single art by Felix Gasmen  IG: @artsbyfelix",218800,34700,462,52,3197,38411,2023-05-10 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7231395353122147589?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_310,"Ang dating tamis ng pagsasama, nahanap na",210100,30700,493,77,3123,34393,2024-03-27 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7350994175862508806?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_194,Serenading kween,166900,30300,1019,176,1842,33337,2023-05-05 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7229642816748653829?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_149,Time to flex that special someone,264900,23100,340,228,8930,32598,2023-04-08 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7219605187164556550?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_449,#kungmagingakinka 24 oras kitang mamahalin beybe,191400,24900,4381,138,2122,31541,2025-02-06 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7468277617200811272?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_217,"Leonora | Live at “We Play Here!” by Warner Music Philippines | Samsung Hall, SM Aura Watch the full performance on Youtube!",178900,28300,561,164,2438,31463,2023-06-10 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7242981498289163526?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_474,Leonora sequel: Maria Clara #leonora #mariaclara #fyp #opm #thesugarcaneph,248400,27900,571,64,2585,31120,2025-02-22 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7474172976309603591?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_216,Leonora | Live at K-Lite 103.5,164200,27700,867,136,2379,31082,2023-06-09 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7242527918197361926?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_306,Pano kung may chance pa pala?,283000,27800,271,118,2874,31063,2024-03-24 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7349888982781660422?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_308,MARIA CLARA LIVE ON WISH 107.5,170800,29100,344,69,1133,30646,2024-03-26 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7350626972923481349?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_465,#TangingIkaw ang nagpapainit ng puso ko,190700,26600,2177,178,1686,30641,2025-02-14 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7471243923139071240?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
