video_id,title,views,likes,shares,comments_added,saves,engagement_rate,publish_time,url
tkvid_427,Perfect first kiss song??  Pre-save link on bio!,340900,52900,2473,304,6355,18.196538574361984,2025-01-16 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7460439468311383303?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_184,"“𝑷𝒂𝒂𝒍𝒂𝒎, 𝑳𝒆𝒐𝒏𝒐𝒓𝒂” – 𝑶𝒖𝒕 𝒐𝒏 𝑺𝒑𝒐𝒕𝒊𝒇𝒚  𝑹𝒆𝒂𝒅𝒚 𝒌𝒂 𝒏𝒂 𝒃𝒂 𝒎𝒂𝒔𝒂𝒌𝒕𝒂𝒏?",138300,23000,297,176,1649,18.164859002169198,2023-04-29 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7227308507010223366?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_169,Tamang games lang sa gedli,413500,68800,808,591,4700,18.11342200725514,2023-04-19 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7223683711982636315?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_308,MARIA CLARA LIVE ON WISH 107.5,170800,29100,344,69,1133,17.942622950819672,2024-03-26 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7350626972923481349?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_224,Leonora (Live at Wish 107.5),155800,25500,441,176,1798,17.917201540436455,2023-06-23 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7247785198371228934?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_155,"""Leonora"" is out now on Youtube and Spotify",1400000,218100,14200,1473,16700,17.89092857142857,2023-04-13 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7221430163467177242?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_217,"Leonora | Live at “We Play Here!” by Warner Music Philippines | Samsung Hall, SM Aura Watch the full performance on Youtube!",178900,28300,561,164,2438,17.586920067076576,2023-06-10 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7242981498289163526?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_199,"Timelapse of the creation of “Paalam, Leonora”’s single art by Felix Gasmen  IG: @artsbyfelix",218800,34700,462,52,3197,17.555301645338208,2023-05-10 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7231395353122147589?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_177,"Sa lungkot at ligaya, hirap at ginhawa, SUGARCANE makakasama mo",49200,7770,62,109,555,17.268292682926827,2023-04-24 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7225514316039081221?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
tkvid_357,napakinggan mo na ba??,5292,805,24,34,46,17.17687074829932,2024-10-09 00:00:00+00:00,https:::www.tiktok.com:@thesugarcaneph:video:7423442829394955538?is_from_webapp=1&sender_device=pc&web_id=7555517756851799559
