post_type,day_of_week,hour,predicted_reach,predicted_tier,confidence,range_lower,range_upper
Photos,Thursday,18,21741,High,0.4851365396438256,15218,28263
Photos,Thursday,21,20486,High,0.4867039291192628,14340,26631
Photos,Friday,9,21135,High,0.46185912064593765,14794,27475
Photos,Friday,12,21246,High,0.49114214541028134,14872,27619
Photos,Friday,15,21608,High,0.49770383123914563,15125,28090
Photos,Friday,18,21733,High,0.4901365396438255,15213,28252
Photos,Friday,21,20478,High,0.4917039291192628,14334,26621
Photos,Saturday,9,21101,High,0.4618591206459377,14770,27431
Photos,Saturday,12,21212,High,0.49161768198600975,14848,27575
Photos,Saturday,15,21573,High,0.4981793678148742,15101,28044
Photos,Saturday,18,21683,High,0.49061207621955405,15178,28187
Photos,Saturday,21,20266,High,0.4921794656949912,14186,26345
Photos,Sunday,9,21046,High,0.4618591206459378,14732,27359
Photos,Sunday,12,21156,High,0.49161768198600975,14809,27502
Photos,Sunday,15,21516,High,0.4981793678148742,15061,27970
Photos,Sunday,18,21625,High,0.4906120762195541,15137,28112
Photos,Sunday,21,20211,High,0.49217946569499127,14147,26274
Text,Monday,9,18183,High,0.5510419348292559,12728,23637
Text,Monday,12,18407,High,0.6014985779730477,12884,23929
Text,Monday,15,18738,High,0.608060263801912,13116,24359
Text,Monday,18,18970,High,0.5998645201786466,13279,24661
Text,Monday,21,18008,High,0.6020235457136375,12605,23410
Text,Tuesday,9,18229,High,0.554459431244918,12760,23697
Text,Tuesday,12,18454,High,0.60491607438871,12917,23990
Text,Tuesday,15,18802,High,0.6114777602175743,13161,24442
Text,Tuesday,18,19048,High,0.6032820165943089,13333,24762
Text,Tuesday,21,18070,High,0.6054410421292997,12649,23491
Text,Wednesday,9,18281,High,0.5544594312449181,12796,23765
Text,Wednesday,12,18507,High,0.6049160743887099,12954,24059
Text,Wednesday,15,18841,High,0.6114777602175743,13188,24493
Text,Wednesday,18,19088,High,0.6032820165943088,13361,24814
Text,Wednesday,21,18118,High,0.6054410421292998,12682,23553
Text,Thursday,9,18249,High,0.554459431244918,12774,23723
Text,Thursday,12,18474,High,0.60491607438871,12931,24016
Text,Thursday,15,18807,High,0.6114777602175744,13164,24449
Text,Thursday,18,19052,High,0.6032820165943089,13336,24767
Text,Thursday,21,17957,High,0.6054410421292998,12569,23344
Text,Friday,9,18206,High,0.5562344312449181,12744,23667
Text,Friday,12,18430,High,0.6066910743887098,12901,23959
Text,Friday,15,18760,High,0.6132527602175744,13132,24388
Text,Friday,18,19004,High,0.6050570165943089,13302,24705
Text,Friday,21,17912,High,0.6072160421292998,12538,23285
Text,Saturday,9,18115,High,0.5562344312449182,12680,23549
Text,Saturday,12,18336,High,0.6071666109644385,12835,23836
Text,Saturday,15,18664,High,0.6137282967933029,13064,24263
Text,Saturday,18,18894,High,0.6055325531700373,13225,24562
Text,Saturday,21,17713,High,0.6076915787050282,12399,23026
Text,Sunday,9,18026,High,0.5562344312449181,12618,23433
Text,Sunday,12,18245,High,0.6071666109644385,12771,23718
Text,Sunday,15,18570,High,0.6137282967933029,12999,24141
Text,Sunday,18,18798,High,0.6055325531700375,13158,24437
Text,Sunday,21,17623,High,0.6076915787050282,12336,22909
