metric,value
Total Posts,868.0
R² Score,0.6084153668213372
Mean Absolute Error,2150.0721972222555
Mean Absolute % Error,42.25786955207888
Within ±50% Range,72.6027397260274
Within ±30% Range,48.63013698630137
Median Error,529.6232657369123
